Gamma,Iteration,Change_Factor,Acetate_threshold,ATPM,Random_Seed
1,1,1,0.498001188294405,6.89,1
0.3,1,1,0.4980011882944,6.89,1
0.25,1,1,0.4980011882944,6.89,1
0.2,1,1,0.732006730844806,6.89,1
0.15,1,1,0.539049852424986,6.89,1
