Gamma,Change_Factor,Acetate_Threshold_Main,Acetate_Threshold_Slope_0_1,Acetate_Threshold_Slope_0_7,Needs_Revision,Consensus_Threshold
0.1,0.02,0.791265978154413,0.785369536641831,0.0124744444108565,0,0.791265978154413
0.1,0.05,0.791265978154423,0.785369536641834,0.0124764321043428,0,0.791265978154423
0.1,0.1,0.791265978154413,0.78536953664183,0.0124771020935422,0,0.791265978154413
0.1,0.2,0.791265978154418,0.785369536641836,0.0124745580086421,0,0.791265978154418
0.1,0.5,0.675407803076898,0.656711271070179,0.0124786190064735,0,0.675407803076898
0.1,1,0.330009330529977,0.294969264759899,0.012476538512518,1,0.330009330529977
0.1,2,0.131326912398277,0.115213638819407,0.012476585718886,0,0.131326912398277
0.1,5,0.0168414015729739,0.0069141851499958,0.0069141851499958,0,0.0168414015729739
0.1,10,0.000642775860945397,0.000642775860945397,0.000642775860945397,0,0.000642775860945397
0.1,20,0,0,0,0,0
0.1,50,0,0,0,0,0
0.11159169550173,0.02,0.791265978154409,0.785369536641836,0.012474891973606,0,0.791265978154409
0.11159169550173,0.05,0.791265978154418,0.785369536641836,0.0124761141724191,0,0.791265978154418
0.11159169550173,0.1,0.791265978154421,0.785369536641839,0.0124737663194308,0,0.791265978154421
0.11159169550173,0.2,0.791265978154401,0.785369536641834,0.0124745061452845,0,0.791265978154401
0.11159169550173,0.5,0.735757214306834,0.731219262126586,0.0124763959946528,0,0.735757214306834
0.11159169550173,1,0.360372994856609,0.336473426347402,0.0124759289755539,0,0.360372994856609
0.11159169550173,2,0.153495954902233,0.131981370648628,0.012476129626283,0,0.153495954902233
0.11159169550173,5,0.0228875123432931,0.0122289270363995,0.0122289270363995,0,0.0228875123432931
0.11159169550173,10,0.00395127004484914,0.00395127004484914,0.00395127004484914,0,0.00395127004484914
0.11159169550173,20,0,0,0,0,0
0.11159169550173,50,0,0,0,0,0
0.122837370242214,0.02,0.791265978154416,0.785369536641833,0.0124752504710274,0,0.791265978154416
0.122837370242214,0.05,0.791265304160451,0.78536886767041,0.0124715442747945,0,0.791265304160451
0.122837370242214,0.1,0.791265978154417,0.785369536641837,0.012472790270218,0,0.791265978154417
0.122837370242214,0.2,0.791265978154419,0.785369536641816,0.012474484523755,0,0.791265978154419
0.122837370242214,0.5,0.781758006979428,0.781758006979428,0.0124763771124159,0,0.781758006979428
0.122837370242214,1,0.389960857104915,0.37612756718435,0.0124765363895756,0,0.389960857104915
0.122837370242214,2,0.166150266616738,0.156801553700801,0.0124764343339167,0,0.166150266616738
0.122837370242214,5,0.0282072033092296,0.0231759739655934,0.0124767409970298,0,0.0282072033092296
0.122837370242214,10,0.00311614475188778,0.00311614475188778,0.00311614475188778,0,0.00311614475188778
0.122837370242214,20,0.00175248278720329,0.00175248278720329,0.00175248278720329,0,0.00175248278720329
0.122837370242214,50,0,0,0,0,0
0.133737024221453,0.02,0.791265978154417,0.785369536641833,0.0124746942706698,0,0.791265978154417
0.133737024221453,0.05,0.791265978154416,0.785369536641834,0.0124765695907665,0,0.791265978154416
0.133737024221453,0.1,0.791265978154417,0.785369536641837,0.0124763124745859,0,0.791265978154417
