,Rxn_ID,Rxn_name,Rxn_Loc,Rxn_Subsystem,Rxn_kcat,Rxn_genes_rules,Rxn_mW_c,Rxn_mW_m,Rxn_numTMb,Rxn_mW_c_Total,Rxn_mW_m_Total,Rxn_locations_Total,Rxn_count_Tmb_Total
1144,ISETACabcpp,Isethionate transport via ABC system (periplasm),Inner Membrane,"Transport, Inner Membrane",95.19583333,(b0365 and b0366 and b0367) or (b0933 and b0934 and b0936),91221.0,18586.78707,8,"[92375.0, 91221.0]","[16152.68364, 18586.78707]","['Inner Membrane', 'Inner Membrane']","[7, 8]"
1145,ISETACtex_f,Isethionate transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0241 or b0929 or b1377 or b2215,38922.0,0.0,0,"[38922.0, 39333.0, 41220.0, 40368.0]","[0.0, 21633.15, 0.0, 17383.90751]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 17, 0, 16]"
1146,GUR1PPpp,Glucuronate 1-phosphate phosphatase (periplasm),Cytoplasmic,Alternate Carbon Metabolism,nan,,0,0,0,[0],[0],['Cytoplasmic'],[0]
1147,UDPGtex_f,UDPglucose transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0241 or b0929 or b1377 or b2215,38922.0,0.0,0,"[38922.0, 39333.0, 41220.0, 40368.0]","[0.0, 21633.15, 0.0, 17383.90751]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 17, 0, 16]"
1148,ACGAL1PPpp,N-acetyl-D-galactosamine 1-phosphatase (periplasm),Cytoplasmic,Alternate Carbon Metabolism,nan,,0,0,0,[0],[0],['Cytoplasmic'],[0]
1149,UDPGALtex_f,UDPgalactose transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0929 or b1377 or b2215 or b0241,38922.0,0.0,0,"[39333.0, 41220.0, 40368.0, 38922.0]","[21633.15, 0.0, 17383.90751, 0.0]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[17, 0, 16, 0]"
1150,ACGAM1Ptex_f,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0241 or b0929 or b1377 or b2215,38922.0,0.0,0,"[38922.0, 39333.0, 41220.0, 40368.0]","[0.0, 21633.15, 0.0, 17383.90751]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 17, 0, 16]"
1151,UACGAMtex_f,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0241 or b0929 or b1377 or b2215,38922.0,0.0,0,"[38922.0, 39333.0, 41220.0, 40368.0]","[0.0, 21633.15, 0.0, 17383.90751]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 17, 0, 16]"
1152,UDPACGALtex_f,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0241 or b0929 or b1377 or b2215,38922.0,0.0,0,"[38922.0, 39333.0, 41220.0, 40368.0]","[0.0, 21633.15, 0.0, 17383.90751]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 17, 0, 16]"
1153,AM4PCP,"Anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",Cytoplasmic,Murein Recycling,160.0,b1192,33567.0,0,0,[33567.0],[0.0],['Cytoplasmic'],[0]
1154,AM3PA,Anhydrous-N-Acetylmuramyl-tripeptide amidase,Cytoplasmic,Murein Recycling,25.0,b0110,20536.0,0,0,[20536.0],[0.0],['Cytoplasmic'],[0]
1155,UM4PCP,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine L,D-carboxypeptidase",Cytoplasmic,Murein Recycling,160.0,b1192,33567.0,0,0,[33567.0],[0.0],['Cytoplasmic'],[0]
1156,CBLAT_f,Cob(I)alamin adenosyltransferase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,0.05,b1270,21999.0,0,0,[21999.0],[0.0],['Cytoplasmic'],[0]
1157,MSO3abcpp,Methanesulfonate transport via ABC system (periplasm),Inner Membrane,"Transport, Inner Membrane",95.19583333,b0933 and b0936 and b0934,91221.0,18586.78707,8,[91221.0],[18586.78707],['Inner Membrane'],[8]
1158,MSO3tex_f,Methanesulfonate transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",100000000.0,b0241 or b0929 or b1377 or b2215,38922.0,0.0,0,"[38922.0, 39333.0, 41220.0, 40368.0]","[0.0, 21633.15, 0.0, 17383.90751]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 17, 0, 16]"
1159,FECRMR1,Ferrichrome reductase,Cytoplasmic,Inorganic Ion Transport and Metabolism,nan,,0,0,0,[0],[0],['Cytoplasmic'],[0]
1160,FECRMR2,Ferrichrome reductase,Cytoplasmic,Inorganic Ion Transport and Metabolism,nan,,0,0,0,[0],[0],['Cytoplasmic'],[0]
1161,TDP,Thiamin pyrophosphatase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,90.13177273,b1134,17433.0,0,0,[17433.0],[0.0],['Cytoplasmic'],[0]
1162,3PEPTabcpp,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),Inner Membrane,Murein Recycling,22.0,(b1245 and b1247 and b1244 and b1329 and b1246) or (b2177 and b2180 and b2178 and b2179) or (b1245 and b1247 and b1246 and b1244 and b1243),200751.0,27547.93075,12,"[200751.0, 206847.0, 201750.0]","[27547.93075, 30374.280619999998, 27547.93075]","['Inner Membrane', 'Inner Membrane', 'Inner Membrane']","[12, 13, 12]"
1163,4PEPTabcpp,Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm),Inner Membrane,Murein Recycling,22.0,(b1243 and b1247 and b1244 and b1245 and b1246) or (b2177 and b2180 and b2178 and b2179),201750.0,27547.93075,12,"[201750.0, 206847.0]","[27547.93075, 30374.280619999998]","['Inner Membrane', 'Inner Membrane']","[12, 13]"
1164,AGM3Pt2pp,GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm),Inner Membrane,Murein Recycling,22.0,b0433,53245.0,22881.25255,10,[53245.0],[22881.25255],['Inner Membrane'],[10]
1165,AGM4Pt2pp,GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm),Inner Membrane,Murein Recycling,22.0,b0433,53245.0,22881.25255,10,[53245.0],[22881.25255],['Inner Membrane'],[10]
1166,AGMt2pp,GlcNAc-anhMurNAc transport in via proton symport (periplasm),Inner Membrane,Murein Recycling,22.0,b0433,53245.0,22881.25255,10,[53245.0],[22881.25255],['Inner Membrane'],[10]
1167,FECRMexs,Ferrichrome Fe(III)-loading reaction (spontaneous),Inner Membrane,Inorganic Ion Transport and Metabolism,nan,s0001,0,0,0,[0.0],[0.0],['Inner Membrane'],[0]
1168,ARBTNR1,Aerobactin reductase,Cytoplasmic,Inorganic Ion Transport and Metabolism,nan,,0,0,0,[0],[0],['Cytoplasmic'],[0]
1169,ARBTNR2,Aerobactin reductase,Cytoplasmic,Inorganic Ion Transport and Metabolism,nan,,0,0,0,[0],[0],['Cytoplasmic'],[0]
1170,ARBTNR3,Aerobactin reductase,Cytoplasmic,Inorganic Ion Transport and Metabolism,nan,,0,0,0,[0],[0],['Cytoplasmic'],[0]
1171,ARBTNexs,Aerobactin Fe-loading reaction (spontaneous),Inner Membrane,Inorganic Ion Transport and Metabolism,nan,s0001,0,0,0,[0.0],[0.0],['Inner Membrane'],[0]
1172,FEOXAMexs,Ferroxamine Fe3-loading reaction (spontaneous),Inner Membrane,Inorganic Ion Transport and Metabolism,nan,s0001,0,0,0,[0.0],[0.0],['Inner Membrane'],[0]
1173,FEOXAMR1,Ferroxamine reductase,Cytoplasmic,Inorganic Ion Transport and Metabolism,22.0,b4367,30113.0,0,0,[30113.0],[0.0],['Cytoplasmic'],[0]
1174,FEOXAMR2,Ferroxamine reductase,Cytoplasmic,Inorganic Ion Transport and Metabolism,22.0,b4367,30113.0,0,0,[30113.0],[0.0],['Cytoplasmic'],[0]
1175,FEOXAMR3,Ferroxamine reductase,Cytoplasmic,Inorganic Ion Transport and Metabolism,22.0,b4367,30113.0,0,0,[30113.0],[0.0],['Cytoplasmic'],[0]
1176,PTHRpp,Phospho-L-threonine phosphatase (periplasmic),Cytoplasmic,Threonine and Lysine Metabolism,67.0,b4055 or b0383,26104.0,0,0,"[26104.0, 49439.0]","[0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic']","[0, 0]"
1177,ARABDI_f,L-fucose isomerase,Cytoplasmic,Alternate Carbon Metabolism,0.1823,b2802,64977.0,0,0,[64977.0],[0.0],['Cytoplasmic'],[0]
