,forward,reverse
AHGDx,110.6,16.82075
GLUPRT,58.2,
2DGULRy,6.725,
DATPHs,,
OMCDC,,
3HAD80,368.4865,
LGTHL,1088.0,
CDAPPA141,90.13177273,
FCI,0.0287,0.0287
GF6PTA,15.81,
ARGDC,2.296666667,
OXAMTC,,
L_LACtex,100000000.0,100000000.0
DGUNC,1.2,
12PPDStex,100000000.0,100000000.0
GPDDA3pp,2.8,
DSBAO1,22.0,
RBFSa,0.040957143,
DALAtex,100000000.0,100000000.0
OHPBAT,2.49,0.115
ALLtex,100000000.0,100000000.0
PAI2T,109.4666667,
GLCt2pp,22.0,
POR5,10.84975,362.7222222
LPLIPAL2E160,1016.0,
5DOAN,4.0,
GUACYC,,
23CAMPtex,100000000.0,100000000.0
MALTPTtexi,100000000.0,
AMPtex,100000000.0,100000000.0
3PEPTtex,100000000.0,100000000.0
MANGLYCptspp,3204.0,
FALDH2,11.75,93.75
PSCLYStex,100000000.0,100000000.0
UDPGtex,100000000.0,100000000.0
GLYtpp,100000000.0,100000000.0
SPMDAT1,8.7,
PSCVT,24.6285905,1.2e-05
REPHACCOAI,63.0,63.0
23DOGULNt4pp,22.0,
HACD8,229.0,0.004
GLYCTO4,15.7,
ADCL,0.82,
DAGK140,10.40333333,
PLIPA2E181pp,2.48,
GALS3,7.3875,
UMPtex,100000000.0,100000000.0
NADHXD,0.33,
DHCIND,0.45,
MN2tipp,22.0,
NNATr,5.5,5.5
CPGNUtpp,,
CYTDtex,100000000.0,100000000.0
PROtex,100000000.0,100000000.0
PGL,570.2,
DPCOAK,0.0387,
ACOLIPAabctex,95.19583333,
HKNDDH,2.0,
LPLIPAL2G181,1016.0,
PGPP161pp,24.0,
3OAR180,99.3,0.59
NTD11pp,104.0,
LPLIPAL1A161pp,1016.0,
ACACT1r,1.4,47.4
PTRCt2pp,22.0,
ADNt2pp_copy2,22.0,22.0
LEUt3pp,22.0,
ETHAtex,100000000.0,100000000.0
DHNCOAT,3.165,
MALDt2_2pp,22.0,
GLCabcpp,95.19583333,
FUM,60.0,129.0
23PDE9pp,1.97,
FADt,22.0,
AKGtex,100000000.0,100000000.0
GLYBabcpp,0.097333333,
DASYN160,8.92,
METGLCURt2pp,22.0,
G1PPpp,117.0,
NO2tex,100000000.0,100000000.0
PSCLYSt2pp,22.0,
I4FE4SR,22.0,
PAPSR,3.5,
ETHAt2pp,,
DHBSZ3FEabcpp,95.19583333,
ETHAAL,605.0,
PLIPA2A120pp,3.86,
GLYC3Pt6pp,22.0,
FA141ACPHi,0.004,
3NTD7pp,9.84,
FORCT,4.75,4.5
ADK4,842.0,783.0
GAL1PPpp,0.0348,
CPGNUtex,,
ANHGMtex,100000000.0,100000000.0
ECOAH2,380.5,7.5465
PUNP1,44.93,110.0
DKGLCNR1,8.315,
PGPP181pp,24.0,
DHACOAH,15.0,15.0
SPMDAT2,8.7,
HEPT4,18.3185,
NO3R2bpp,94.286,
SFGTHi,17.505,
ALLTAMH2,18.0,
CYSS,24.0,
DURIK1,2.0,
COLIPAabctex,95.19583333,
MCITS,8.25,
CHRPL,0.82,
SGDS,111.8694444,
DM_mththf_c,,
5DKGR,0.024,0.024
ALAt2pp,22.0,
3AMPtex,100000000.0,100000000.0
GMAND,5.0,
FDH4pp,36.1,
MGSA,220.0,
NTPP6,8.6095,
ETHSO3tex,100000000.0,100000000.0
42A12BOOXpp,86.03333333,
PCNO,45.0,45.0
SERt2rpp,22.0,
GLUN,487.4666667,
CPGNtonex,22.0,
PGPP141pp,24.0,
CITt7pp,22.0,
DHORD5,82.0,
LPLIPAL2E141,1016.0,
MSAR,115.0,
NO2t2rpp,22.0,22.0
3OAR80,99.3,0.59
SERAT,40.1,0.068
SERtpp,22.0,
LPLIPAL2ATG160,1016.0,
PGP141abcpp,95.19583333,
UDPGDC,0.3025,
UPPDC1,0.317,
PAPA160,184.0,
ACACCT,290.0,
PIt2rpp,22.0,
METDabcpp,95.19583333,
METGLCURtex,100000000.0,100000000.0
IGPS,9.3,
FACOAE100,17.0,
FORtppi,100000000.0,
BSORx,93.55647875,
2AGPG120tipp,100000000.0,
MEPCT,51.25,
UGCIAMH,761.0,
TEO2M,0.0524684,
DAGK141,10.40333333,
CD2abcpp,300.0,
ORNtex,100000000.0,100000000.0
PDX5PO2,,
ILEabcpp,22.0,
PG161abcpp,95.19583333,
DUMPtex,100000000.0,100000000.0
CPGNR2,,
GLYALDtpp,100000000.0,100000000.0
SHK3Dr,236.745,118.5425
TMDS,3.11,
DURItex,100000000.0,100000000.0
NI2tex,100000000.0,100000000.0
DGSNtex,100000000.0,100000000.0
OMBZLM,0.0524684,
AHCYSNS,2.1,
HXPRT,83.4,
LPLIPAL2E181,1016.0,
CHTBStex,100000000.0,100000000.0
NODOx,360.0,
GLCS1,284.0,
3OAS141,0.725,
ADPT,9.33,
RMI,224.0,1717.0
PETNT181pp,1.0,
PGSA160,1.0,
MTRPOX,18.9,
SELtex,100000000.0,100000000.0
PGPP141,24.0,
PLIPA2E120pp,2.48,
DHPPD,0.45,
PPALtex,100000000.0,100000000.0
FE3DHBZS3R,1.475,
AGM3PA,25.0,
NAt3pp,22.0,
GTHRDHpp,21.5,
E4PD,20.0,73.6
ADK1,860.5,783.0
FEENTERtonex,22.0,
EDTXS1,131.0,
G3PIabcpp,95.19583333,
HXAtex,100000000.0,100000000.0
HACD6,229.0,0.004
MALTabcpp,95.19583333,
DCYTtex,100000000.0,100000000.0
CELBpts,72.77916667,
XYLK,3308.46,
FE2abcpp,22.0,
CYNTt2pp,22.0,
FE3abcpp,,
PE160abcpp,95.19583333,
APH161,1.55e-06,
ARGAGMt7pp,22.0,22.0
ACOAD3f,9.625,35.0
FACOAL140t2pp,0.029,
MCTP2App,1.41,
MANGLYCtex,100000000.0,100000000.0
EDTXS3,46.80901367,
ABUTD,7.7,
LPLIPAL2A141,1016.0,
GALabcpp,95.19583333,
DCYTt2pp,22.0,
PACOAT,4.905,
GLYCtpp,22.0,22.0
4PEPTtex,100000000.0,100000000.0
ACANTHAT,32.4876,
DAMPtex,100000000.0,100000000.0
SOTA,3.0,
ARBTtex,100000000.0,
DMSOR2pp,40.2,
UAGPT3,0.64,
3OAR121,0.59,
ACHBS,33.0,
CYSItex,100000000.0,100000000.0
DDGLK,11.0,
CBMKr,319.0,319.0
THYMt3pp,,
XAND,69.0,
ALPATG160pp,46.80901367,
