Model,FVA_Percent,Analysis_Type,Gamma_fMSA,ATPM,Uptake_Bound,Reaction,Original_Value,Min_Value,Max_Value,FVA_Difference
Homog,0,nonmembrane,0.3,6.89,1000,rx_DHORD2,0.320328471017353,0,19.2227945050429,19.2227945050429
Homog,0,nonmembrane,0.3,6.89,1000,rx_ADK4_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_INSK,0,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_ABTA,0,0,29.6087588990638,29.6087588990638
Homog,0,nonmembrane,0.3,6.89,1000,rx_SSALx,0,0,28.7723490132435,28.7723490132435
Homog,0,nonmembrane,0.3,6.89,1000,rx_ASPT,0,0,164.687490930105,164.687490930105
Homog,0,nonmembrane,0.3,6.89,1000,rx_SERD_L,0,0,67.8355540253533,67.8355540253533
Homog,0,nonmembrane,0.3,6.89,1000,rx_THRD,0,0,32.7165069318594,32.7165069318594
Homog,0,nonmembrane,0.3,6.89,1000,rx_HEX4,0,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_KARA1_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_KARA2_f,0.282309940369828,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_ACCOAC,0.0326414555964505,0,114.800227219404,114.800227219404
Homog,0,nonmembrane,0.3,6.89,1000,rx_NADK,0.00044700623913466,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_ICHORS_copy2_f,0.00111501556294361,0,654.711898312852,654.711898312852
Homog,0,nonmembrane,0.3,6.89,1000,rx_SUCBZS,0.000446006225177443,0,0.000407547418878292,0.000407547418878292
Homog,0,nonmembrane,0.3,6.89,1000,rx_DHBD_f,0.000669009337766165,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_ICHORT,0.000669009337766165,0,11.1236873456099,11.1236873456099
Homog,0,nonmembrane,0.3,6.89,1000,rx_RBK_L1,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_RBP4E_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_NTD2,0,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_NTD4,0,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_NTD5,0,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_NTD6,0,0,47.8713480572493,47.8713480572493
Homog,0,nonmembrane,0.3,6.89,1000,rx_LGTHL,0,0,78.5294997154871,78.5294997154871
Homog,0,nonmembrane,0.3,6.89,1000,rx_PYDXPP,0,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_PDXPP,0,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_HACD6_f,0.272430802480752,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_ECOAH1_f,0.31318937137264,0,654.711898312852,654.711898312852
Homog,0,nonmembrane,0.3,6.89,1000,rx_ECOAH2_f,0.31318937137264,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_ECOAH3_f,0.31318937137264,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_UGLT_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_DXPS,0.00707209870954008,0,0.00707210496357543,0.00707210496357543
Homog,0,nonmembrane,0.3,6.89,1000,rx_CDPMEK,0.00662609248436264,0,0.00662609847718195,0.00662609847718195
Homog,0,nonmembrane,0.3,6.89,1000,rx_MECDPS,0.00662609248436264,0,0.00662609847718195,0.00662609847718195
Homog,0,nonmembrane,0.3,6.89,1000,rx_DDGLK,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_XYLI2_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_PMANM_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_ICL,0,0,50.3420865375344,50.3420865375344
Homog,0,nonmembrane,0.3,6.89,1000,rx_GLYCL,0,0,35.155800866406,35.155800866406
Homog,0,nonmembrane,0.3,6.89,1000,rx_CMPN,0,0,41.4556376070071,41.4556376070071
Homog,0,nonmembrane,0.3,6.89,1000,rx_HCYSMT,0,0,32.9496647072095,32.9496647072095
Homog,0,nonmembrane,0.3,6.89,1000,rx_UDPG4E_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_LACZ,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_TRE6PH,0,0,62.8380191095686,62.8380191095686
Homog,0,nonmembrane,0.3,6.89,1000,rx_XYLI1_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_PPC,2.92606984091867,0,142.488508087411,142.488508087411
Homog,0,nonmembrane,0.3,6.89,1000,rx_ALDD4,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_G3PT,0,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_CINNDO,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_DHPPD,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_DHCIND,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_CITL,0,0,131.329068668513,131.329068668513
Homog,0,nonmembrane,0.3,6.89,1000,rx_GOFUCR,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_PYDXK,0,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_GTPCII2,0.000446006225177527,0,5.02796713118671,5.02796713118671
Homog,0,nonmembrane,0.3,6.89,1000,rx_URIC,0,0,9.39525767244497,9.39525767244497
Homog,0,nonmembrane,0.3,6.89,1000,rx_SADT2,0.247396453061263,0,22.0659788884847,22.0659788884847
Homog,0,nonmembrane,0.3,6.89,1000,rx_LCARS_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_ALCD19_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_RMPA_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_SBTPD_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_PFK_2,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_GLTPD_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_TGBPA_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_MANAO_f,0,0,654.711898312851,654.711898312851
