,Rxn_ID,Rxn_name,Rxn_Loc,Rxn_Subsystem,Rxn_Mw_c,Rxn_Mw_t,Rxn_Mw_p,Rxn_kcat,Rxn_genes_rules
0,ALATA_D2,D-alanine transaminase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,36495.0,0.0,0.0,6.8625,b2551 or b0870
1,SHCHD2,Sirohydrochlorin dehydrogenase (NAD),Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,49951.0,0.0,0.0,0.45,b3368
2,CPPPGO,Coproporphyrinogen oxidase (O2 required),Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,34323.0,0.0,0.0,0.003,b2436
3,GTHOr_f,Glutathione oxidoreductase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,48773.0,0.0,0.0,733.3,b3500
4,DHORD5,Dihydroorotic acid (menaquinone-8),Cytoplasmic,Purine and Pyrimidine Biosynthesis,36775.0,0.0,0.0,82.0,b0945
5,GLYCTO2,Glycolate oxidase,Cytoplasmic,Alternate Carbon Metabolism,137283.0,0.0,0.0,15.7,b2979 and b4468 and b4467
6,GLYCTO3,Glycolate oxidase,Cytoplasmic,Alternate Carbon Metabolism,137283.0,0.0,0.0,15.7,b2979 and b4468 and b4467
7,GLYCTO4,Glycolate oxidase,Cytoplasmic,Alternate Carbon Metabolism,137283.0,0.0,0.0,15.7,b2979 and b4468 and b4467
8,PFK_3,Phosphofructokinase (s7p),Cytoplasmic,Pentose Phosphate Pathway,34842.0,0.0,0.0,31.0185,b3916
9,TRPS2,Tryptophan synthase (indole),Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",71707.0,0.0,0.0,3.695,b1260 and b1261
10,G3PD5,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),Cytoplasmic,Oxidative Phosphorylation,56751.0,0.0,0.0,33.3,(b2243 and b2242 and b2241) or b3426
11,EX_acgam_e_f,N-Acetyl-D-glucosamine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
12,EX_cellb_e_f,Cellobiose exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
13,EX_chol_e_f,Choline exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
14,LEUTAi,Leucine transaminase (irreversible),Cytoplasmic,"Valine, Leucine, and Isoleucine Metabolism",34094.0,0.0,0.0,15.655,b3770 or b4054
15,SHK3Dr_f,Shikimate dehydrogenase,Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",29414.0,0.0,0.0,236.745,b3281 or b1692
16,G5SD,Glutamate-5-semialdehyde dehydrogenase,Cytoplasmic,Arginine and Proline Metabolism,44630.0,0.0,0.0,176.8525,b0243
17,ALATA_L2,Alanine transaminase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,36495.0,0.0,0.0,6.8625,b0870 or b2551
18,MAN6PI_f,Mannose-6-phosphate isomerase,Cytoplasmic,Alternate Carbon Metabolism,42850.0,0.0,0.0,1.38,b1613
19,APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,40338.0,0.0,0.0,7.3275,b0414
20,DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,23353.0,0.0,0.0,2.848283333,b3041
21,RBFK,Riboflavin kinase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,34734.0,0.0,0.0,3.716666667,b0025
22,ACP1_FMN,Acid phosphatase (FMN),Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,27122.0,0.0,0.0,0.59,b3812 or b0446 or b0844
23,RBFSb,Riboflavin synthase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,23445.0,0.0,0.0,0.267,b1662
24,EX_pi_e_f,Phosphate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
25,EX_h_e_f,H+ exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
26,DMATT,Dimethylallyltranstransferase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,32160.0,0.0,0.0,0.49,b0421
27,GRTT,Geranyltranstransferase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,32160.0,0.0,0.0,0.345,b0421
28,UPP3S,Uroporphyrinogen-III synthase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,27798.0,0.0,0.0,500.0,b3804
29,UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,39248.0,0.0,0.0,0.317,b3997
30,TMDPP_f,Thymidine phosphorylase,Cytoplasmic,Nucleotide Salvage Pathway,47207.0,0.0,0.0,130.0,b4382
31,EX_ade_e_f,Adenine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
32,EX_4abut_e_f,4-Aminobutanoate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
33,EX_ac_e_f,Acetate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
34,EX_akg_e_f,2-Oxoglutarate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
35,EX_ala__L_e_f,L-Alanine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
36,EX_arg__L_e_f,L-Arginine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
37,EX_asp__L_e_f,L-Aspartate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
38,EX_cytd_e_f,Cytidine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
39,EX_dcyt_e_f,Deoxycytidine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
40,EX_fum_e_f,Fumarate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
41,EX_glu__L_e_f,L-Glutamate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
42,EX_gua_e_f,Guanine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
43,HCO3E_f,HCO3 equilibration reaction,Cytoplasmic,Unassigned,23764.0,0.0,0.0,5105.107143,b0126 or b0339
44,IMPC_f,IMP cyclohydrolase,Cytoplasmic,Purine and Pyrimidine Biosynthesis,57329.0,0.0,0.0,8.6,b4006
45,IMPD,IMP dehydrogenase,Cytoplasmic,Purine and Pyrimidine Biosynthesis,52022.0,0.0,0.0,13.0,b2508
46,ECOAH4_f,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),Cytoplasmic,Membrane Lipid Metabolism,77072.0,0.0,0.0,380.5,b2341 or b3846
47,GLUTRS,Glutamyl-tRNA synthetase,Cytoplasmic,tRNA Charging,53816.0,0.0,0.0,2.2,b2400
48,TMPPP,Thiamine-phosphate diphosphorylase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,23015.0,0.0,0.0,16.08025,b3993
49,URIK1,Uridine kinase  ATPUridine ,Cytoplasmic,Nucleotide Salvage Pathway,24353.0,0.0,0.0,0.0041,b2066
50,URIK2,Uridine kinase (GTP:Uridine),Cytoplasmic,Nucleotide Salvage Pathway,24353.0,0.0,0.0,0.0041,b2066
51,CYTDK1,ATP:cytidine 5'-phosphotransferase,Cytoplasmic,Nucleotide Salvage Pathway,24353.0,0.0,0.0,0.0041,b2066
52,CYTDK2,Cytidine kinase (GTP),Cytoplasmic,Nucleotide Salvage Pathway,24353.0,0.0,0.0,0.0041,b2066
53,XPPT,Xanthine phosphoribosyltransferase,Inner Membrane,Nucleotide Salvage Pathway,30955.0,30955.0,30955.0,131.0,b0238
54,HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),Inner Membrane,Nucleotide Salvage Pathway,30955.0,30955.0,30955.0,83.4,b0238 or b0125
55,NDPK5_f,Nucleoside-diphosphate kinase (ATP:dGDP),Cytoplasmic,Nucleotide Salvage Pathway,15463.0,0.0,0.0,571.5,b0474 or b2518
56,DHORTS_f,Dihydroorotase,Cytoplasmic,Purine and Pyrimidine Biosynthesis,38827.0,0.0,0.0,1.71,b1062
57,OMPDC,Orotidine-5'-phosphate decarboxylase,Cytoplasmic,Purine and Pyrimidine Biosynthesis,26350.0,0.0,0.0,42.0,b1281
58,CS,Citrate synthase,Cytoplasmic,Citric Acid Cycle,48015.0,0.0,0.0,51.0,b0720
59,ICDHyr_f,Isocitrate dehydrogenase (NADP),Cytoplasmic,Citric Acid Cycle,45757.0,0.0,0.0,11.1,b1136
60,ACALD_f,Acetaldehyde dehydrogenase (acetylating),Cytoplasmic,Pyruvate Metabolism,33442.0,0.0,0.0,15.7,b0351 or b1241
61,ACS,Acetyl-CoA synthetase,Inner Membrane,Pyruvate Metabolism,55077.0,55077.0,55077.0,66.6,b4069
62,PPA,Inorganic diphosphatase,Cytoplasmic,Anaplerotic Reactions,19704.0,0.0,0.0,390.0,b2744 or b2502 or b4226
63,PPCK,Phosphoenolpyruvate carboxykinase,Cytoplasmic,Anaplerotic Reactions,59643.0,0.0,0.0,38.0,b3403
64,ME1,Malic enzyme (NAD),Cytoplasmic,Anaplerotic Reactions,63197.0,0.0,0.0,134.4,b1479
65,ALAR_f,Alanine racemase,Cytoplasmic,Alanine and Aspartate Metabolism,38845.0,0.0,0.0,27.6,b1190 or b4053
66,ALATA_L_f,L-alanine transaminase,Cytoplasmic,Alanine and Aspartate Metabolism,45517.0,0.0,0.0,17.1,b2290 or b2379
67,XYLK,Xylulokinase,Cytoplasmic,Alternate Carbon Metabolism,52618.0,0.0,0.0,3308.46,b0063 or b3564
68,RBK,Ribokinase,Cytoplasmic,Alternate Carbon Metabolism,32291.0,0.0,0.0,9.166666667,b3752
69,GLYK,Glycerol kinase,Cytoplasmic,Alternate Carbon Metabolism,56231.0,0.0,0.0,4900.0,b3926
70,PPM_f,Phosphopentomutase,Cytoplasmic,Alternate Carbon Metabolism,44370.0,0.0,0.0,173.0,b4383
71,ASPTA_f,Aspartate transaminase,Cytoplasmic,Alanine and Aspartate Metabolism,43538.0,0.0,0.0,404.0,b0928 or b4054
72,FBP,Fructose-bisphosphatase,Inner Membrane,Glycolysis/Gluconeogenesis,13093.0,13093.0,13093.0,19.3,b4232 or b3925 or b2930 or b3697
73,GLGC,Glucose-1-phosphate adenylyltransferase,Cytoplasmic,Glycolysis/Gluconeogenesis,48698.0,0.0,0.0,370.0,b3430
74,PYK,Pyruvate kinase,Cytoplasmic,Glycolysis/Gluconeogenesis,50729.0,0.0,0.0,135.5,b1854 or b1676
75,A5PISO_f,Arabinose-5-phosphate isomerase,Cytoplasmic,Alternate Carbon Metabolism,34031.0,0.0,0.0,10.5,b3197 or b2708
76,EX_met__L_e_f,L-Methionine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
77,EX_metsox_S__L_e_f,L-Methionine S-oxide exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
78,IPPMIb_f,2-isopropylmalate hydratase,Cytoplasmic,"Valine, Leucine, and Isoleucine Metabolism",72369.0,0.0,0.0,10.0,b0071 and b0072
79,ACHBS,2-aceto-2-hydroxybutanoate synthase,Cytoplasmic,"Valine, Leucine, and Isoleucine Metabolism",71547.0,0.0,0.0,33.0,(b3670 and b3671) or (b0077 and b0078)
80,ACLS,Acetolactate synthase,Cytoplasmic,"Valine, Leucine, and Isoleucine Metabolism",71547.0,0.0,0.0,38.94,(b0077 and b0078) or (b3670 and b3671)
81,PSCVT_f,3-phosphoshikimate 1-carboxyvinyltransferase,Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",46096.0,0.0,0.0,24.6285905,b0908
82,ANS,Anthranilate synthase,Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",114364.0,0.0,0.0,383.0,b1263 and b1264
83,ANPRT,Anthranilate phosphoribosyltransferase,Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",56870.0,0.0,0.0,4.4,b1263
84,CHORM,Chorismate mutase,Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",42043.0,0.0,0.0,233450.0,b2599 or b2600
85,CHORS,Chorismate synthase,Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",39137.0,0.0,0.0,29.0,b2329
86,IGPS,Indole-3-glycerol-phosphate synthase,Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",49492.0,0.0,0.0,9.3,b1262
87,EX_crn_e_f,L-Carnitine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
88,EX_fe3_e_f,Fe3+ exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
89,EX_glcn_e_f,D-Gluconate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
90,EX_gln__L_e_f,L-Glutamine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
91,EX_glyc_e_f,Glycerol exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
92,EX_man_e_f,D-Mannose exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
93,EX_mn2_e_f,Mn2+ exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
94,EX_rib__D_e_f,D-Ribose exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
95,EX_sbt__D_e_f,D-Sorbitol exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
96,ECOAH6_f,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),Cytoplasmic,Membrane Lipid Metabolism,77072.0,0.0,0.0,380.5,b2341 or b3846
97,ENO_f,Enolase,Cytoplasmic,Glycolysis/Gluconeogenesis,45655.0,0.0,0.0,141.4,b2779
98,FBA_f,Fructose-bisphosphate aldolase,Cytoplasmic,Glycolysis/Gluconeogenesis,38109.0,0.0,0.0,10.8,b2925 or b2097
99,MGSA,Methylglyoxal synthase,Cytoplasmic,Methylglyoxal Metabolism,16919.0,0.0,0.0,220.0,b0963
100,PPS,Phosphoenolpyruvate synthase,Cytoplasmic,Glycolysis/Gluconeogenesis,87435.0,0.0,0.0,0.33,b1702
101,PGI_f,Glucose-6-phosphate isomerase,Cytoplasmic,Glycolysis/Gluconeogenesis,61530.0,0.0,0.0,923.75,b4025
102,PGK_f,Phosphoglycerate kinase,Cytoplasmic,Glycolysis/Gluconeogenesis,41118.0,0.0,0.0,1480.0,b2926
103,EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,Cytoplasmic,Pentose Phosphate Pathway,22284.0,0.0,0.0,149.93,b1850
104,PGL,6-phosphogluconolactonase,Cytoplasmic,Pentose Phosphate Pathway,36308.0,0.0,0.0,570.2,b0767
105,RPE_f,Ribulose 5-phosphate 3-epimerase,Cytoplasmic,Pentose Phosphate Pathway,24554.0,0.0,0.0,873.3,b3386
106,TALA_f,Transaldolase,Cytoplasmic,Pentose Phosphate Pathway,35219.0,0.0,0.0,13.0,b0008 or b2464
107,TKT1_f,Transketolase,Cytoplasmic,Pentose Phosphate Pathway,72212.0,0.0,0.0,4.24375,b2935 or b2465
108,G6PDA,Glucosamine-6-phosphate deaminase,Cytoplasmic,Alternate Carbon Metabolism,29774.0,0.0,0.0,72.93333333,b0678
109,ALCD2x_f,Alcohol dehydrogenase (ethanol),Cytoplasmic,Pyruvate Metabolism,35380.0,0.0,0.0,352.2,b1241 or b1478
110,ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",Cytoplasmic,Alternate Carbon Metabolism,29410.0,0.0,0.0,53.5,b3588 or b3011 or b3003 or b0493 or b4269
111,RMI_f,L-rhamnose isomerase,Cytoplasmic,Alternate Carbon Metabolism,47199.0,0.0,0.0,224.0,b3903
112,EX_ura_e_f,Uracil exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
113,EX_val__L_e_f,L-Valine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
114,EX_xan_e_f,Xanthine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
115,FMNAT,FMN adenylyltransferase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,34734.0,0.0,0.0,370.0,b0025
116,NADDP,NAD diphosphatase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,29689.0,0.0,0.0,19.3,b3996 or b2411
117,NMNAT,Nicotinamide-nucleotide adenylyltransferase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,24528.0,0.0,0.0,0.904583333,b4390 or b0639
118,HMPK1,Hydroxymethylpyrimidine kinase (ATP),Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,28634.0,0.0,0.0,0.254175,b2103 or b2418
119,NDPK6_f,Nucleoside-diphosphate kinase (ATP:dUDP),Cytoplasmic,Nucleotide Salvage Pathway,15463.0,0.0,0.0,571.5,b0474 or b2518
120,NDPK8_f,Nucleoside-diphosphate kinase (ATP:dADP),Cytoplasmic,Nucleotide Salvage Pathway,15463.0,0.0,0.0,571.5,b0474 or b2518
121,PYNP2r_f,Pyrimidine-nucleoside phosphorylase (uracil),Cytoplasmic,Nucleotide Salvage Pathway,27159.0,0.0,0.0,150.0,b3831
122,DURIPP_f,Deoxyuridine phosphorylase,Cytoplasmic,Nucleotide Salvage Pathway,25950.0,0.0,0.0,39.965,b4382 or b4384
123,PTRCTA,Putrescine Transaminase,Cytoplasmic,Arginine and Proline Metabolism,49661.0,0.0,0.0,278.0,b3073
124,CYSDS,Cysteine Desulfhydrase,Cytoplasmic,Cysteine Metabolism,43212.0,0.0,0.0,25.35,b3008 or b3708
125,TRPAS2_f,Tryptophanase (L-tryptophan),Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",52773.0,0.0,0.0,5.4,b3708
126,NDP3,Nucleoside diphosphatase  GDP ,Cytoplasmic,Nucleotide Salvage Pathway,17433.0,0.0,0.0,660.3553889,b1134 or b3614
127,CDPPH,CDP phosphohydrolase,Cytoplasmic,Nucleotide Salvage Pathway,35353.0,0.0,0.0,700.0,b3614
128,NDP7,Nucleoside diphosphatase  UDP ,Cytoplasmic,Nucleotide Salvage Pathway,35353.0,0.0,0.0,80.9,b3614
129,EX_co2_e_f,CO2 exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
130,PMDPHT,Pyrimidine phosphatase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,27122.0,0.0,0.0,1.465,b0844 or b3812
131,ILETA_f,Isoleucine transaminase,Cytoplasmic,"Valine, Leucine, and Isoleucine Metabolism",34094.0,0.0,0.0,48.0,b3770
132,VALTA_f,Valine transaminase,Cytoplasmic,"Valine, Leucine, and Isoleucine Metabolism",34094.0,0.0,0.0,19.0,b3770
133,ORPT_f,Orotate phosphoribosyltransferase,Cytoplasmic,Purine and Pyrimidine Biosynthesis,23567.0,0.0,0.0,1.95,b3642
134,RBFSa,Riboflavin synthase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,23445.0,0.0,0.0,0.040957143,b0415
135,DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",Cytoplasmic,"Valine, Leucine, and Isoleucine Metabolism",65532.0,0.0,0.0,11.5,b3771
136,G1PP,Glucose-1-phosphatase,Cytoplasmic,Glycolysis/Gluconeogenesis,22732.0,0.0,0.0,117.0,b2293 or b3885 or b3697
137,PFL,Pyruvate formate lyase,Cytoplasmic,Pyruvate Metabolism,113561.0,0.0,0.0,770.0,(b0902 and b0903) or (b0902 and b3114) or (b3951 and b3952) or ((b0902 and b0903) and b2579)
138,FRD2,Fumarate reductase,Inner Membrane,Citric Acid Cycle,121217.0,121217.0,28122.0,250.0,b4152 and b4151 and b4153 and b4154
139,FRD3,Fumarate reductase,Inner Membrane,Citric Acid Cycle,121217.0,121217.0,28122.0,250.0,b4152 and b4151 and b4153 and b4154
140,POX,Pyruvate oxidase,Cytoplasmic,Oxidative Phosphorylation,62011.0,0.0,0.0,167.0,b0871
141,PTAr_f,Phosphotransacetylase,Cytoplasmic,Pyruvate Metabolism,36067.0,0.0,0.0,120.0,b2297 or b2458
142,ACKr_f,Acetate kinase,Cytoplasmic,Pyruvate Metabolism,42434.0,0.0,0.0,908.0,b2296 or b1849 or b3115
143,EX_hxan_e_f,Hypoxanthine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
144,EX_ile__L_e_f,L-Isoleucine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
145,EX_lac__L_e_f,L-Lactate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
146,EX_leu__L_e_f,L-Leucine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
147,EX_no3_e_f,Nitrate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
148,EX_orn_e_f,Ornithine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
149,EX_pro__L_e_f,L-Proline exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
150,EX_pyr_e_f,Pyruvate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
151,EX_succ_e_f,Succinate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
152,EX_thymd_e_f,Thymidine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
153,EX_tyr__L_e_f,L-Tyrosine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
154,MOAT,3-deoxy-D-manno-octulosonic acid transferase,Inner Membrane,Lipopolysaccharide Biosynthesis / Recycling,47291.0,47291.0,47291.0,2.866666667,b3633
155,UDCPDPS,Undecaprenyl diphosphate synthase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,28444.0,0.0,0.0,2.1762,b0174
156,USHD,UDP-sugar hydrolase,Cytoplasmic,Lipopolysaccharide Biosynthesis / Recycling,26894.0,0.0,0.0,90.13177273,b0524
157,LPADSS,Lipid A disaccaride synthase,Cytoplasmic,Lipopolysaccharide Biosynthesis / Recycling,42382.0,0.0,0.0,18.3185,b0182
158,TDSK,Tetraacyldisaccharide 4'kinase,Inner Membrane,Lipopolysaccharide Biosynthesis / Recycling,35589.0,35589.0,35589.0,2.4,b0915
159,EX_btn_e_f,Biotin exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
160,EX_ptrc_e_f,Putrescine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
161,EX_spmd_e_f,Spermidine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
162,EX_thym_e_f,Thymine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
163,EX_xtsn_e_f,Xanthosine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
164,NTPP1,Nucleoside triphosphate pyrophosphorylase (dgtp),Cytoplasmic,Nucleotide Salvage Pathway,14927.0,0.0,0.0,2.55,b0099 or b2781
165,NTPP2,Nucleoside triphosphate pyrophosphorylase (gtp),Cytoplasmic,Nucleotide Salvage Pathway,14927.0,0.0,0.0,2.55,b0099 or b2781
166,NTPTP1,Nucleoside triphosphate tripolyhydrolase,Cytoplasmic,Nucleotide Salvage Pathway,59383.0,0.0,0.0,4000.0,b0160
167,NTPTP2,Nucleoside triphosphate tripolyhydrolase,Cytoplasmic,Nucleotide Salvage Pathway,59383.0,0.0,0.0,4000.0,b0160
168,IPMD,3-isopropylmalate dehydrogenase,Cytoplasmic,"Valine, Leucine, and Isoleucine Metabolism",39517.0,0.0,0.0,69.0,b0073 or b1800
169,AIRC3_f,Phosphoribosylaminoimidazole carboxylase (mutase rxn),Cytoplasmic,Purine and Pyrimidine Biosynthesis,17780.0,0.0,0.0,15.6,b0523
170,ADSL2r_f,Adenylosuccinate lyase,Cytoplasmic,Purine and Pyrimidine Biosynthesis,51543.0,0.0,0.0,7.0,b1131
171,EX_fe2_e_f,Fe2+ exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
172,PUNP5_f,Purine-nucleoside phosphorylase (Inosine),Cytoplasmic,Nucleotide Salvage Pathway,25950.0,0.0,0.0,6200.0,b2407 or b4384
173,PUNP6_f,Purine-nucleoside phosphorylase (Deoxyinosine),Cytoplasmic,Nucleotide Salvage Pathway,25950.0,0.0,0.0,44.93,b4384 or b2407
174,PUNP7_f,Purine-nucleoside phosphorylase (Xanthosine),Cytoplasmic,Nucleotide Salvage Pathway,29835.0,0.0,0.0,44.93,b2407
175,RNDR1,Ribonucleoside-diphosphate reductase (ADP),Cytoplasmic,Nucleotide Salvage Pathway,141099.0,0.0,0.0,8.115,(b2582 and (b2234 and b2235)) or (b3781 and (b2234 and b2235))
176,RNDR3,Ribonucleoside-diphosphate reductase (CDP),Cytoplasmic,Nucleotide Salvage Pathway,141099.0,0.0,0.0,8.115,(b3781 and (b2234 and b2235)) or (b2582 and (b2234 and b2235))
177,RNDR4,Ribonucleoside-diphosphate reductase (UDP),Cytoplasmic,Nucleotide Salvage Pathway,141099.0,0.0,0.0,8.115,(b3781 and (b2234 and b2235)) or ((b2234 and b2235) and b2582)
178,TMDS,Thymidylate synthase,Cytoplasmic,Nucleotide Salvage Pathway,30480.0,0.0,0.0,3.11,b2827
179,TMDK1,Thymidine kinase (ATP:thymidine),Cytoplasmic,Nucleotide Salvage Pathway,23457.0,0.0,0.0,2.0,b1238
180,PPCDC,Phosphopantothenoylcysteine decarboxylase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,43438.0,0.0,0.0,2.9,b3639
181,FTHFD,Formyltetrahydrofolate deformylase,Cytoplasmic,Folate Metabolism,31935.0,0.0,0.0,111.8694444,b1232
182,EX_glc__D_e_f,D-Glucose exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
183,EDD,6-phosphogluconate dehydratase,Cytoplasmic,Pentose Phosphate Pathway,64639.0,0.0,0.0,368.4865,b1851
184,DHQTi,"3-dehydroquinate dehydratase, irreversible",Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",27467.0,0.0,0.0,215.0,b1693
185,PUNP1_f,Purine-nucleoside phosphorylase (Adenosine),Cytoplasmic,Nucleotide Salvage Pathway,25950.0,0.0,0.0,44.93,b4384
186,PUNP2_f,Purine-nucleoside phosphorylase (Deoxyadenosine),Cytoplasmic,Nucleotide Salvage Pathway,25950.0,0.0,0.0,44.93,b4384
187,PUNP3_f,Purine-nucleoside phosphorylase (Guanosine),Cytoplasmic,Nucleotide Salvage Pathway,25950.0,0.0,0.0,44.93,b2407 or b4384
188,LYSAM_f,"Lysine 2,3-aminomutase",Cytoplasmic,Threonine and Lysine Metabolism,38750.0,0.0,0.0,0.083,b4146
189,DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",Cytoplasmic,"Valine, Leucine, and Isoleucine Metabolism",65532.0,0.0,0.0,11.5,b3771
190,IPPMIa_f,3-isopropylmalate dehydratase,Cytoplasmic,"Valine, Leucine, and Isoleucine Metabolism",72369.0,0.0,0.0,368.4865,b0071 and b0072
191,EX_alltn_e_f,Allantoin exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
192,G3PD7,Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8),Cytoplasmic,Oxidative Phosphorylation,148423.0,0.0,0.0,33.3,b2243 and b2242 and b2241
193,NADH9,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),Cytoplasmic,Oxidative Phosphorylation,20170.0,0.0,0.0,8.9,b1109 or b1004 or b0046 or b3713
