,Rxn_ID,Rxn_name,Rxn_Loc,Rxn_Subsystem,Rxn_Mw_c,Rxn_Mw_t,Rxn_Mw_p,Rxn_kcat,Rxn_genes_rules
671,UACMAMO,UDP-N-acetyl-D-mannosamine oxidoreductase,Cytoplasmic,Cell Envelope Biosynthesis,45839.0,0.0,0.0,0.4,b3787
672,FBA3_f,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",Cytoplasmic,Pentose Phosphate Pathway,39147.0,0.0,0.0,0.003,b2925
673,PMPK,Phosphomethylpyrimidine kinase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,28634.0,0.0,0.0,0.07,b2103
674,LCADi,Lactaldehyde dehydrogenase,Cytoplasmic,Alternate Carbon Metabolism,52273.0,0.0,0.0,761.5,b1415
675,ADK3_f,Adentylate kinase (GTP),Cytoplasmic,Nucleotide Salvage Pathway,23586.0,0.0,0.0,842.0,b0474
676,GLUDC,Glutamate Decarboxylase,Cytoplasmic,Glutamate Metabolism,52668.0,0.0,0.0,42.055,b3517 or b1493
677,BSORy,Biotin sulfoxide reductase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,85851.0,0.0,0.0,25.34181818,b3551
678,ADSK,Adenylyl-sulfate kinase,Cytoplasmic,Cysteine Metabolism,22321.0,0.0,0.0,50.0,b2750
679,HSDy_f,Homoserine dehydrogenase (NADPH),Cytoplasmic,Threonine and Lysine Metabolism,88888.0,0.0,0.0,7.0125,b3940 or b0002
680,CYSTL,Cystathionine b-lyase,Cytoplasmic,Methionine Metabolism,43212.0,0.0,0.0,45.3,b3008 or b1622
681,SHSL1,O-succinylhomoserine lyase (L-cysteine),Cytoplasmic,Methionine Metabolism,41550.0,0.0,0.0,84.51428571,b3939
682,SSALy,Succinate-semialdehyde dehydrogenase (NADP),Cytoplasmic,Arginine and Proline Metabolism,49718.0,0.0,0.0,22.6,b1525 or b2661
683,EX_dad_2_e_f,Deoxyadenosine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
684,EX_ser__D_e_f,D-Serine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
685,EX_gam6p_e_f,D-Glucosamine 6-phosphate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
686,EX_15dap_e_f,"1,5-Diaminopentane exchange",Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
687,EX_ocdcea_e_f,Octadecenoate (n-C18:1) exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
688,EX_cynt_e_f,Cyanate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
689,EX_galctn__D_e_f,D-Galactonate exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
690,EX_glyb_e_f,Glycine betaine exchange,Exchange,Extracellular exchange,0.0,0.0,0.0,100000000.0,
691,3HCINNMH,3-hydroxycinnamate hydroxylase,Cytoplasmic,Alternate Carbon Metabolism,62186.0,0.0,0.0,117.0090215,b0347
692,BSORx,Biotin sulfoxide reductase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,85851.0,0.0,0.0,93.55647875,b3551
693,NMNt7pp,NMN transport via NMN glycohydrolase (periplasm),Inner Membrane,"Transport, Inner Membrane",0.0,0.0,0.0,100000000.0,
694,GLUtex_f,L-glutamate transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
695,GLYtex_f,Glycine transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
696,GLYALDtex_f,Glyceraldehyde transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
697,GLYBtex_f,Glycine betaine transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
698,GLYCtex_f,Glycerol transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
699,GLYC3Ptex_f,Glycerol-3-phosphate transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
700,GLYCLTtex_f,Glycolate transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
701,GTPtex_f,GTP transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b1377 or b2215 or b0241 or b0929
702,GUAtex_f,Guanine transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane",33589.0,0.0,0.0,100000000.0,b0411
703,Htex_f,Proton transport via diffusion (extracellular to periplasm),Cytoplasmic,"Transport, Outer Membrane Porin",38922.0,0.0,0.0,100000000.0,b0241 or b0929 or b1377 or b2215
