export_fraction,gamma,glc_uptake,mu,phiEc,phiEm,phiEr,phiT,phiCm,phiR,phiCc,unassigned
0.05,1.0,0.2,,0.0,0.0,0.0,,0.0,,0.484,0.0
0.05,1.0,0.8857142857142859,0.0540126410149903,0.0868943763605186,0.0006078324912931,0.0152092801905799,0.0004564068165766681,0.0007407948372227,0.00867172951495663,0.37141957978885237,0.1125804206942484
0.05,1.0,1.5714285714285716,0.1163859611060101,0.1553753258788,0.0013097520758331,0.0223844903280181,0.0009834613713457854,0.0013143134208789,0.018685766055569916,0.2839468908695542,0.2000531098271358
0.05,1.0,2.2571428571428576,0.1784809473929613,0.2104031718020119,0.0020085394245417,0.0296667745000822,0.0015081640054705233,0.0018878320045352,0.02865511610393988,0.20987040215941855,0.2741295987527344
0.05,1.0,2.9428571428571435,0.24056502595951,0.2646881216723955,0.0027072040229691,0.036953254833788,0.0020327744693578596,0.0024613505881915,0.03862271491779934,0.1365345794954987,0.3474654216303735
0.05,1.0,3.6285714285714294,0.3026491045260768,0.3189742916817381,0.0034058686213422,0.0442397351674896,0.0025573849332453493,0.0030348691718478,0.04859031373166155,0.06319753669267542,0.4208024646487076
0.05,1.0,4.314285714285715,0.3646148279272244,0.3630967571514036,0.0041032013072629,0.051571746316683,0.0030809952959850464,0.0036083877555041,0.058538910623715856,1.5494455163356236e-09,0.4840000000000415
0.05,1.0,5.000000000000001,0.425845785469117,0.3438714695766899,0.0047922652887227,0.0591864193053899,0.0035983968872140386,0.0041819063391604,0.06836954085706666,1.745756428306322e-09,0.4839999999991919
0.05,1.0,5.685714285714287,0.4853757615583393,0.3247887345405192,0.0054621872364924,0.0669651475947118,0.0041014251851679675,0.0047554249228167,0.07792707851819133,2.0021005964210303e-09,0.4840000000000777
0.05,1.0,6.371428571428573,0.5441555479730927,0.3057552246245468,0.0061236669075982,0.0748298750662998,0.004598114380372634,0.005328943506473,0.08736417322707997,2.28762964127327e-09,0.4840000000000866
0.05,1.0,7.057142857142859,0.6029100026330138,0.2867221282207716,0.0067848615072216,0.0826987551665141,0.005094589522248966,0.0059024620901293,0.09679720092273034,2.570384127764669e-09,0.4840000000000155
0.05,1.0,7.742857142857145,0.659754820982248,0.267608150678937,0.0074245659709365,0.0909927351149312,0.005574928237299996,0.0064759806737856,0.1059236365086999,2.8154097941879286e-09,0.4839999999999612
0.05,1.0,8.428571428571429,0.715609859312608,0.2484379160642765,0.0080531319225662,0.0995213835001732,0.006046903311191538,0.0070494992574419,0.11489116291263916,3.031711437451179e-09,0.4840000000000068
0.05,1.0,9.114285714285716,0.7448381448834772,0.2407003184268974,0.0089162764885259,0.1008827377820768,0.006293882324265383,0.0076230178410981,0.11958376416104223,2.976094204409918e-09,0.4839999999998526
0.05,1.0,9.8,0.7711482288599804,0.2342277053086153,0.009805668381902,0.1014460363263769,0.006516202533866835,0.0081965364247544,0.12380784814346976,2.8810148711144734e-09,0.4839999999999969
0.05,1.0,10.0,0.7788220033531257,0.2323398598157091,0.0100650743507836,0.1016103317351312,0.006581045928333912,0.0083638126783209,0.1250398726383443,2.8533769791394548e-09,0.4839999999999453
0.05,1.0,10.04340277777778,0.7804873189983431,0.2319301711237626,0.0101213690489003,0.1016459861207114,0.006595117845536,0.0084001139486261,0.12530723906518398,2.847279578777062e-09,0.4840000000000342
0.05,1.0,10.17361111111111,0.7854832659339821,0.2307011050476146,0.0102902531431999,0.1017529492774525,0.0066373335971421496,0.0085090177595417,0.12610933834570076,2.8293483667063413e-09,0.4839999999999389
0.05,1.0,10.390625,0.7938098441600495,0.2286526615874667,0.0105717266337894,0.1019312212053542,0.006707693183152419,0.0086905241110678,0.12744617047989587,2.799273646214573e-09,0.4839999999999687
0.05,1.0,10.694444444444445,0.8031743194672611,0.2262565577743421,0.0109555693416216,0.1021067771032676,0.006786822999498357,0.0089446330032042,0.12894963699046874,2.78759743066459e-09,0.4840000000000215
0.05,1.0,11.085069444444445,0.811455151161066,0.2241405471128633,0.011443994112342,0.1020081909257708,0.006856796027311009,0.0092713444359512,0.13027912451890908,2.86685264416775e-09,0.4840000000000138
0.05,1.0,11.5625,0.8215761676756977,0.2215543118599229,0.0120409577210173,0.1018876967088299,0.006942318616859647,0.0096706584093085,0.13190405372033326,2.963728540361643e-09,0.4839999999999955
0.05,1.0,12.12673611111111,0.8326013577152881,0.2200749021047669,0.0128211264182666,0.1002517642090864,0.007035481472694185,0.0101425749232763,0.13367414798118943,2.8907201632399904e-09,0.4839999999999895
0.05,1.0,12.77777777777778,0.8446496738300483,0.219496953409438,0.013779248426591,0.0972909066370977,0.0071372897438639095,0.0106870939778544,0.1356085051334142,2.671740828574798e-09,0.4839999999999981
0.05,1.0,13.515625,0.8583044320934481,0.2188419448880648,0.0148651200360256,0.0939352680555107,0.007252672451189638,0.011304215573043,0.13780077657260306,2.423563127962325e-09,0.4840000000000091
0.05,1.0,14.340277777777777,0.8718435068314668,0.2138047804747053,0.0158469097319862,0.0950128150393256,0.007367077632725896,0.0119939397088421,0.139974475021792,2.390622921843999e-09,0.4840000000000055
0.05,1.0,15.25173611111111,0.8859513237990186,0.2080850748737948,0.01691097550005,0.096389156892192,0.007486288686101708,0.0128890166508854,0.1422394850359324,2.3610436938881207e-09,0.4840000000000041
