Gamma,Z_Level,Y_Level,rx_EX_ac_e_f,rx_EX_co2_e_f,rx_EDD,rx_MALS,rx_AKGDH,rx_ATPS4rpp_f,rx_BIOMASS_Ec_iML1515_WT_75p37M,rx_EX_glc__D_e_b
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,2.0633850458745,0.0,0.0364490064936753,0.634346213609852,6.59584557636395,0.0124763965451508,0.428813559322034
0.2,0.0,0.0,0.0,2.43758453453495,0.0,0.0802884510872645,0.695716482248084,7.6794096000558,0.0274435919180718,0.593220338983051
0.2,0.0,0.0,0.0,2.81206819379088,0.0,0.124097701435312,0.756806274815251,8.76373828186671,0.0424181389731858,0.757627118644068
0.2,0.0,0.0,0.0,3.1860618987763,0.0,0.167720094753034,0.817879662429436,9.84483031780233,0.0573200776182292,0.922033898305085
0.2,0.0,0.0,0.0,3.56036166012586,0.0,0.211480591512513,0.878946487367923,10.9282721714818,0.072275680132997,1.0864406779661
0.2,0.0,0.0,0.0,3.93468488177416,0.0,0.155840818519771,1.03923921963485,12.0119593798686,0.0872312826477774,1.25084745762712
0.2,0.0,0.0,0.0,4.30898872575187,0.0,0.082463095478075,1.21741439048071,13.0954434953902,0.102186885162587,1.41525423728814
0.2,0.0,0.0,0.0,4.68328624403694,0.0,0.0088889245172589,1.39582122227168,14.1788670248269,0.117142487677366,1.57966101694915
0.2,0.0,0.0,0.0,5.06007198109353,0.0,0.0003465730258884,1.49742023930739,15.2799894421607,0.132027849959199,1.74406779661017
0.2,0.0,0.0,0.0,5.43719991035903,0.0,0.0001392735961767,1.58919331193913,16.3838987855919,0.146913161055585,1.90847457627119
0.2,0.0,0.0,0.0,5.81434370624243,0.0,0.0004247208181771,1.68038531374297,17.4879600959709,0.161798472152049,2.0728813559322
0.2,0.0,0.0,0.0,6.19147002789771,0.0,0.0001674961433837,1.77221726065288,18.5918540420615,0.176683783248357,2.23728813559322
0.2,0.0,0.0,0.0,6.56861543140042,0.0,0.0005028688412553,1.86335038790614,19.6959307498468,0.191569094344695,2.40169491525424
0.2,0.0,0.0,0.0,6.94574715446072,0.0,0.0004347156158877,1.95495953882056,20.7998860474566,0.206454506569411,2.56610169491525
0.2,0.0,0.0,0.0,7.32287343829887,0.0,0.0001640871100891,2.04680719684777,21.9037741163321,0.221339759678548,2.73050847457627
0.2,0.0,0.0,0.0,7.70002301913337,0.0,0.0006200907755227,2.1377979992693,23.0078867306314,0.236225027633744,2.89491525423729
0.2,0.0,0.0,0.0,8.07715888170969,0.0,0.0006591647250844,2.22928053642411,24.1118720575525,0.25111033873013,3.05932203389831
0.2,0.0,0.0,0.0,8.45429474428693,0.0,0.0006982386696252,2.32076307358483,25.2158573844717,0.265995649826518,3.22372881355932
0.2,0.0,0.0,0.0,8.83142671426856,0.0,0.0006364815435766,2.41236467199039,26.3198144733291,0.280881056018928,3.38813559322034
0.2,0.0,0.0,0.0,9.2085496520076,0.0,0.0002584709432227,2.50433893318116,27.423668930465,0.295766292688309,3.55254237288136
0.2,0.0,0.0,0.0,9.58572613783656,0.0,0.0,2.59618293633829,28.5276331008939,0.310651780862763,3.71694915254237
0.2,0.0,0.0,0.0,9.96283578117345,0.0,0.0007920189214027,2.68676704050943,29.6317811844758,0.32553695317183,3.88135593220339
0.2,0.0,0.0,0.0,10.3399504799074,0.0,0.0001881665597971,2.77900785935029,30.735570270479,0.340422332208916,4.04576271186441
0.2,0.0,0.0,0.0,10.7170904644614,0.0,0.0003298719985878,2.87036917062254,31.83958363187,0.355307522968587,4.21016949152542
0.2,0.0,0.0,0.0,11.1021603016353,0.0,0.205012758285365,2.72021323565013,33.0009211038066,0.369999475866338,4.37457627118644
0.2,0.0,0.0,0.0,11.4876688321665,0.0,0.421893112296722,2.55564992088994,34.1656344747626,0.384680242760774,4.53898305084746
0.2,0.0,0.0,0.0,11.8731773626978,0.0,0.638773466296183,2.39108660614362,35.3303478457144,0.39936100965521,4.70338983050847
0.2,0.0,0.0,0.0,12.2586858932283,0.0,0.855653820287726,2.2265232914066,36.4950612166636,0.414041776549644,4.86779661016949
0.2,0.0,0.0,0.0,12.6441944237588,0.0,1.07253417428261,2.06195997666567,37.6597745876141,0.428722543444082,5.03220338983051
0.2,0.0,0.0,0.0,13.0297029542896,0.0,1.28941452828672,1.89739666191393,38.8244879585676,0.443403310338515,5.19661016949153
0.2,0.0,0.0,0.0,13.4352847351749,0.0,1.33878561477161,1.75736896759122,39.9970154234813,0.457543834958326,5.36101694915254
0.2,0.0,0.0,0.0,13.8447865778757,0.0,1.38002233257819,1.60284127300886,41.1763441809502,0.471636909904862,5.52542372881356
0.2,0.0,0.0,0.0,14.2542884205776,0.0,1.42125905038477,1.44831357842335,42.3556729384202,0.485729984851396,5.68983050847458
