Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",2p4c2me_c  -> 2mecdp_c + cmp_c ,4.6.1.12,16897.09,2.7
MGSA,Methylglyoxal synthase,dhap_c  -> pi_c + mthgxl_c ,4.2.3.3,16918.12,220
ALAtpp,L-alanine export via facilited diffusion,ala__L_c  -> ala__L_p ,,16948.58,100000000
XPPT,Xanthine phosphoribosyltransferase,xan_c + prpp_c  -> ppi_c + xmp_c ,2.4.2.22,16970.06,131
OPMEACPD,3-Oxo-pimeloyl-[ACP] methyl ester dehydratase,hpmeACP_c  -> epmeACP_c + h2o_c ,4.2.1.59,17032.43,368.4865
OGMEACPD,3-Oxo-glutaryl-[ACP] methyl ester dehydratase,hgmeACP_c  -> egmeACP_c + h2o_c ,4.2.1.59,17032.43,368.4865
CYNTAH,Cyanate aminohydrolase,3 h_c + cynt_c + hco3_c  -> nh4_c + 2 co2_c ,4.2.1.104,17048.36,46000
TDP,Thiamin pyrophosphatase,thmpp_c + h2o_c  -> h_c + pi_c + thmmp_c ,3.6.1.-,17432.43,90.13177273
NMNDA,Nicotinamide-nucleotide amidase,h2o_c + nmn_c  -> nh4_c + nicrnt_c ,3.5.1.42,17581.2,4.1
SPODMpp,Superoxide dismutase,2 h_p + 2 o2s_p  -> o2_p + h2o2_p ,1.15.1.1,17680.45,22300
AIRC3_f,Phosphoribosylaminoimidazole carboxylase (mutase rxn),5aizc_c  -> 5caiz_c ,5.4.99.18,17779.84,15.6
AIRC3_b,Phosphoribosylaminoimidazole carboxylase (mutase rxn),5caiz_c  -> 5aizc_c ,5.4.99.18,17779.84,15.5
PTPATi,Pantetheine-phosphate adenylyltransferase,h_c + pan4p_c + atp_c  -> ppi_c + dpcoa_c ,2.7.7.3,17836.14,4.7
ACPS1,Acyl-carrier protein synthase,apoACP_c + coa_c  -> h_c + pap_c + ACP_c ,2.7.8.7,17909.54,1
3HAD80,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),3hoctACP_c  -> toct2eACP_c + h2o_c ,4.2.1.59,18000.45,368.4865
3HAD120,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),3hddecACP_c  -> h2o_c + tddec2eACP_c ,4.2.1.59,18000.45,368.4865
3HAD161,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1),3hcpalm9eACP_c  -> t3c9palmeACP_c + h2o_c ,4.2.1.59,18000.45,368.4865
3HAD121,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1),3hcddec5eACP_c  -> t3c5ddeceACP_c + h2o_c ,4.2.1.59,18000.45,368.4865
3HAD141,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1),3hcmrs7eACP_c  -> t3c7mrseACP_c + h2o_c ,4.2.1.59,18000.45,368.4865
