Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
PLIPA2G160pp,"Phospholipase A2 (phosphatidylglycerol, n-C16:0) (periplasm)",h2o_p + pg160_p  -> hdca_p + h_p + 1agpg160_p ,"3.1.1.32, 3.1.1.4",33162.05,2.48
PLIPA2G181pp,"Phospholipase A2 (phosphatidylglycerol, n-C18:1) (periplasm)",h2o_p + pg181_p  -> ocdcea_p + 1agpg181_p + h_p ,"3.1.1.32, 3.1.1.4",33162.05,2.48
PLIPA1E141pp,"Phospholipase A1 (phosphatidylethanolamine, n-C14:1) (periplasm)",h2o_p + pe141_p  -> h_p + 2agpe141_p + ttdcea_p ,"3.1.1.32, 3.1.1.4",33162.05,2.48
PLIPA1G160pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:0) (periplasm)",h2o_p + pg160_p  -> hdca_p + h_p + 2agpg160_p ,"3.1.1.32, 3.1.1.4",33162.05,2.48
PLIPA1G141pp,"Phospholipase A1 (phosphatidylglycerol, n-C14:1) (periplasm)",h2o_p + pg141_p  -> h_p + ttdcea_p + 2agpg141_p ,"3.1.1.32, 3.1.1.4",33162.05,2.48
PLIPA2A120pp,"Phospholipase A2 (phosphatidate, n-C12:0) (periplasm)",h2o_p + pa120_p  -> 1ddecg3p_p + h_p + ddca_p ,3.1.1.4,33162.05,3.86
PLIPA2A160pp,"Phospholipase A2 (phosphatidate, n-C16:0) (periplasm)",h2o_p + pa160_p  -> hdca_p + h_p + 1hdecg3p_p ,3.1.1.4,33162.05,3.86
PLIPA2E120pp,"Phospholipase A2 (phosphatidylethanolamine, n-C12:0) (periplasm)",h2o_p + pe120_p  -> h_p + 1agpe120_p + ddca_p ,"3.1.1.32, 3.1.1.4",33162.05,2.48
PLIPA2G141pp,"Phospholipase A2 (phosphatidylglycerol, n-C14:1) (periplasm)",h2o_p + pg141_p  -> h_p + ttdcea_p + 1agpg141_p ,"3.1.1.32, 3.1.1.4",33162.05,2.48
PLIPA2G161pp,"Phospholipase A2 (phosphatidylglycerol, n-C16:1) (periplasm)",h2o_p + pg161_p  -> h_p + 1agpg161_p + hdcea_p ,"3.1.1.32, 3.1.1.4",33162.05,2.48
PLIPA1A120pp,"Phospholipase A1 (phosphatidate, n-C12:0) (periplasm)",h2o_p + pa120_p  -> ddca_p + 2ddecg3p_p ,3.1.1.32,33162.05,1.1
PLIPA1A140pp,"Phospholipase A1 (phosphatidate, n-C14:0) (periplasm)",h2o_p + pa140_p  -> 2tdecg3p_p + ttdca_p ,3.1.1.32,33162.05,1.1
PLIPA1A141pp,"Phospholipase A1 (phosphatidate, n-C14:1) (periplasm)",h2o_p + pa141_p  -> 2tdec7eg3p_p + ttdcea_p ,3.1.1.32,33162.05,1.1
PLIPA1A160pp,"Phospholipase A1 (phosphatidate, n-C16:0) (periplasm)",h2o_p + pa160_p  -> hdca_p + 2hdecg3p_p ,3.1.1.32,33162.05,1.1
PLIPA1A161pp,"Phospholipase A1 (phosphatidate, n-C16:1) (periplasm)",h2o_p + pa161_p  -> 2hdec9eg3p_p + hdcea_p ,"3.1.1.32, 3.1.1.4",33162.05,2.48
PLIPA1A180pp,"Phospholipase A1 (phosphatidate, n-C18:0) (periplasm)",h2o_p + pa180_p  -> ocdca_p + 2odecg3p_p ,3.1.1.32,33162.05,1.1
PLIPA2E161pp,"Phospholipase A2 (phosphatidylethanolamine, n-C16:1) (periplasm)",h2o_p + pe161_p  -> h_p + 1agpe161_p + hdcea_p ,"3.1.1.32, 3.1.1.4",33162.05,2.48
PLIPA2E180pp,"Phospholipase A2 (phosphatidylethanolamine, n-C18:0) (periplasm)",h2o_p + pe180_p  -> h_p + ocdca_p + 1agpe180_p ,"3.1.1.32, 3.1.1.4",33162.05,2.48
PLIPA2G120pp,"Phospholipase A2 (phosphatidylglycerol, n-C12:0) (periplasm)",h2o_p + pg120_p  -> h_p + ddca_p + 1agpg120_p ,"3.1.1.32, 3.1.1.4",33162.05,2.48
PLIPA2G180pp,"Phospholipase A2 (phosphatidylglycerol, n-C18:0) (periplasm)",h2o_p + pg180_p  -> h_p + ocdca_p + 1agpg180_p ,"3.1.1.32, 3.1.1.4",33162.05,2.48
GLUN,Glutaminase,gln__L_c + h2o_c  -> nh4_c + glu__L_c ,3.5.1.2,33208.545,487.4666667
ATPPRT,ATP phosphoribosyltransferase,atp_c + prpp_c  -> prbatp_c + ppi_c ,2.4.2.17,33365.74,2.7
CYTDH,Cytidine hydrolase,cytd_c + h2o_c  -> rib__D_c + csn_c ,3.2.2.8,33376.28,11.6
URIH,Uridine hydrolase,uri_c + h2o_c  -> rib__D_c + ura_c ,3.2.2.8,33376.28,5.05
HCYSMT,Homocysteine S-methyltransferase,amet_c + hcys__L_c  -> h_c + met__L_c + ahcys_c ,2.1.1.10,33421.96,0.38
HCYSMT2,Homocysteine Methyltransferase,hcys__L_c + mmet_c  -> h_c + 2 met__L_c ,2.1.1.10,33421.96,0.38
KAS15,Beta-ketoacyl-ACP synthase (2),h_c + accoa_c + malACP_c  -> actACP_c + coa_c + co2_c ,2.3.1.180,33514.15,3.765
OGMEACPS,3-Oxo-glutaryl-[ACP] methyl ester synthase,h_c + malcoame_c + malACP_c  -> ogmeACP_c + coa_c + co2_c ,2.3.1.180,33514.15,0.46
AGMT,Agmatinase,h2o_c + agm_c  -> urea_c + ptrc_c ,3.5.3.11,33556.01,0.032
AM4PCP,"Anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",anhm4p_c + h2o_c  -> anhm3p_c + ala__D_c ,3.4.17.13,33566.57,160
UM4PCP,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine L,D-carboxypeptidase",um4p_c + h2o_c  -> ugmd_c + ala__D_c ,3.4.17.13,33566.57,160
AGM4PCP,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",anhgm4p_c + h2o_c  -> anhgm3p_c + ala__D_c ,3.4.17.13,33566.57,160
4PCP,"Tetrapeptide L,D-carboxypeptidase",LalaDgluMdapDala_c + h2o_c  -> ala__D_c + LalaDgluMdap_c ,3.4.17.13,33566.57,160
PSURIK,Pseudouridine kinase,psuri_c + atp_c  -> h_c + adp_c + psd5p_c ,2.7.1.83,33571.99,14.80483333
CYSS,Cysteine synthase,h2s_c + acser_c  -> h_c + ac_c + cys__L_c ,2.5.1.47,33575.895,24
GUAtex_f,Guanine transport via diffusion (extracellular to periplasm),gua_e  -> gua_p ,,33587.89,100000000
INStex_f,Inosine transport via diffusion (extracellular to periplasm),ins_e  -> ins_p ,,33587.89,100000000
DCYTtex_f,Deoxycytidine transport via diffusion (extracellular to periplasm),dcyt_e  -> dcyt_p ,,33587.89,100000000
DURItex_f,Deoxyuridine transport via diffusion (extracellular to periplasm),duri_e  -> duri_p ,,33587.89,100000000
URItex_f,Uridine transport via diffusion (extracellular to periplasm),uri_e  -> uri_p ,,33587.89,100000000
ADNtex_f,Adenosine transport via diffusion (extracellular to periplasm),adn_e  -> adn_p ,,33587.89,100000000
DADNtex_f,Deoxyadenosine transport via diffusion (extracellular to periplasm),dad_2_e  -> dad_2_p ,,33587.89,100000000
GUAtex_b,Guanine transport via diffusion (extracellular to periplasm),gua_p  -> gua_e ,,33587.89,100000000
INStex_b,Inosine transport via diffusion (extracellular to periplasm),ins_p  -> ins_e ,,33587.89,100000000
DCYTtex_b,Deoxycytidine transport via diffusion (extracellular to periplasm),dcyt_p  -> dcyt_e ,,33587.89,100000000
DURItex_b,Deoxyuridine transport via diffusion (extracellular to periplasm),duri_p  -> duri_e ,,33587.89,100000000
URItex_b,Uridine transport via diffusion (extracellular to periplasm),uri_p  -> uri_e ,,33587.89,100000000
ADNtex_b,Adenosine transport via diffusion (extracellular to periplasm),adn_p  -> adn_e ,,33587.89,100000000
DADNtex_b,Deoxyadenosine transport via diffusion (extracellular to periplasm),dad_2_p  -> dad_2_e ,,33587.89,100000000
DHNAOT4,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",h_c + dhna_c + octdp_c  -> ppi_c + 2dmmql8_c + co2_c ,2.5.1.74,33593.2,16.08025
HSK,Homoserine kinase,hom__L_c + atp_c  -> h_c + adp_c + phom_c ,2.7.1.39,33622.72,18.3
4HTHRK,4-Hydroxy-L-threonine kinase,atp_c + 4hthr_c  -> h_c + adp_c + phthr_c ,2.7.1.39,33622.72,14.2
PFK,Phosphofructokinase,atp_c + f6p_c  -> h_c + adp_c + fdp_c ,2.7.1.11,33648.025,79.8
DDGLCNt2rpp_f,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)",h_p + 2ddglcn_p  -> h_c + 2ddglcn_c ,,33668.41,22
DDGLCNt2rpp_b,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)",h_c + 2ddglcn_c  -> h_p + 2ddglcn_p ,,33668.41,22
FRUK,Fructose-1-phosphate kinase,f1p_c + atp_c  -> h_c + adp_c + fdp_c ,2.7.1.56,33754.65,14.80483333
CD2t3pp,Cadmium (Cd+2) transport out via proton antiport (periplasm),cd2_c + h_p  -> h_c + cd2_p ,,33801.955,22
ZN2t3pp,Zinc (Zn+2) transport out via proton antiport (periplasm),h_p + zn2_c  -> h_c + zn2_p ,,33801.955,22
COBALT2t3pp,Cobalt (Co+2) transport out via proton antiport (periplasm),h_p + cobalt2_c  -> h_c + cobalt2_p ,,33801.955,22
NI2t3pp,Nickle (Ni+2) transport out via proton antiport (periplasm),ni2_c + h_p  -> h_c + ni2_p ,,33801.955,22
MN2t3pp,Manganese (Mn+2) transport out via proton antiport (periplasm),mn2_c + h_p  -> h_c + mn2_p ,,33801.955,22
ALLK,Allose kinase,all__D_c + atp_c  -> h_c + adp_c + all6p_c ,2.7.1.55,33820,14.80483333
HMBS,Hydroxymethylbilane synthase,h2o_c + 4 ppbng_c  -> 4 nh4_c + hmbil_c ,2.5.1.61,33850.86,0.25
UHGADA,UDP-3-O-acetylglucosamine deacetylase,u3aga_c + h2o_c  -> ac_c + u3hga_c ,3.5.1.108,33954.89,1.5
DDGLK,2-dehydro-3-deoxygluconokinase,2ddglcn_c + atp_c  -> h_c + adp_c + 2ddg6p_c ,2.7.1.45,33961.32,11
METt3pp,L-methionine tranport out via proton antiport (periplasm),h_p + met__L_c  -> h_c + met__L_p ,,33988.345,22
LEUt3pp,L-leucine transport out via proton antiport (periplasm),h_p + leu__L_c  -> h_c + leu__L_p ,,33988.345,22
ILETA_f,Isoleucine transaminase,akg_c + ile__L_c  -> glu__L_c + 3mop_c ,2.6.1.42,34092.58,48
VALTA_f,Valine transaminase,akg_c + val__L_c  -> 3mob_c + glu__L_c ,2.6.1.42,34092.58,19
ILETA_b,Isoleucine transaminase,glu__L_c + 3mop_c  -> akg_c + ile__L_c ,2.6.1.42,34092.58,18.375
VALTA_b,Valine transaminase,3mob_c + glu__L_c  -> akg_c + val__L_c ,2.6.1.42,34092.58,13.67
FBP,Fructose-bisphosphatase,fdp_c + h2o_c  -> pi_c + f6p_c ,3.1.3.11,34181.7025,19.3
HPPPNDO,"2,3-dihydroxypheylpropionate 1,2-dioxygenase",dhpppn_c + o2_c  -> h_c + hkndd_c ,1.13.11.16,34195.02,29
DHCINDO,"2,3-dihydroxycinnamate 1,2-dioxygenase",o2_c + dhcinnm_c  -> h_c + hkntd_c ,1.13.11.16,34195.02,29
PRPPS_f,Phosphoribosylpyrophosphate synthetase,r5p_c + atp_c  -> h_c + prpp_c + amp_c ,2.7.6.1,34217.19,0.66
PRPPS_b,Phosphoribosylpyrophosphate synthetase,h_c + prpp_c + amp_c  -> r5p_c + atp_c ,2.7.6.1,34217.19,0.66
PGMT_f,Phosphoglucomutase,g1p_c  -> g6p_c ,5.4.2.2,34234.25333,126.8
PGMT_b,Phosphoglucomutase,g6p_c  -> g1p_c ,"5.4.2.2, 5.4.2.6",34234.25333,48.895
CPPPGO,Coproporphyrinogen oxidase (O2 required),2 h_c + o2_c + cpppg3_c  -> 2 h2o_c + pppg9_c + 2 co2_c ,1.3.3.3,34321.49,0.003
A5PISO_f,Arabinose-5-phosphate isomerase,ru5p__D_c  -> ara5p_c ,5.3.1.13,34612.795,10.5
A5PISO_b,Arabinose-5-phosphate isomerase,ara5p_c  -> ru5p__D_c ,5.3.1.13,34612.795,16.8
ALAGLUE_f,L-alanyl-gamma-glutamate epimerase,LalaDglu_c  -> LalaLglu_c ,5.1.1.20,34673.08,17
ALAGLUE_b,L-alanyl-gamma-glutamate epimerase,LalaLglu_c  -> LalaDglu_c ,5.1.1.20,34673.08,17
HEX1,Hexokinase (D-glucose:ATP),atp_c + glc__D_c  -> h_c + adp_c + g6p_c ,2.7.1.2,34722.11,110.075
PCNO_f,Propanoyl-CoA:NADP+ 2-oxidoreductase,ppcoa_c + nadp_c  -> h_c + nadph_c + prpncoa_c ,1.3.1.84,34722.77,45
PCNO_b,Propanoyl-CoA:NADP+ 2-oxidoreductase,h_c + nadph_c + prpncoa_c  -> ppcoa_c + nadp_c ,1.3.1.84,34722.77,45
RBFK,Riboflavin kinase,atp_c + ribflv_c  -> h_c + adp_c + fmn_c ,2.7.1.26,34733.27,3.716666667
FMNAT,FMN adenylyltransferase,h_c + atp_c + fmn_c  -> ppi_c + fad_c ,2.7.7.2,34733.27,370
CAt6pp_f,Calcium / sodium antiporter (1:1),na1_p + ca2_c  -> ca2_p + na1_c ,,34739.76,22
CAt6pp_b,Calcium / sodium antiporter (1:1),ca2_p + na1_c  -> na1_p + ca2_c ,,34739.76,22
DMPPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),h_c + h2mb4p_c + nadh_c  -> nad_c + h2o_c + dmpp_c ,1.17.7.4,34773.48,3.7
IPDPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),h_c + h2mb4p_c + nadh_c  -> nad_c + h2o_c + ipdp_c ,1.17.7.4,34773.48,3.7
PFK_3,Phosphofructokinase (s7p),atp_c + s7p_c  -> h_c + adp_c + s17bp_c ,2.7.1.11,34840.99,31.0185
PFK_2,Phosphofructokinase,tag6p__D_c + atp_c  -> h_c + adp_c + tagdp__D_c ,2.7.1.11,34840.99,31.0185
AGMHE,ADP-D-glycero-D-manno-heptose epimerase,adphep_DD_c  -> adphep_LD_c ,5.1.3.20,34892.04,9201.8125
PPA,Inorganic diphosphatase,ppi_c + h2o_c  -> h_c + 2 pi_c ,3.6.1.1,34912.27667,390
PSP_L,Phosphoserine phosphatase (L-serine),pser__L_c + h2o_c  -> ser__L_c + pi_c ,3.1.3.3,35041.76,0.15
TMPK,Thiamine-phosphate kinase,atp_c + thmmp_c  -> thmpp_c + adp_c ,2.7.4.16,35069.8,0.063
CYSDDS,D-cysteine desulfhydrase,cys__D_c + h2o_c  -> h2s_c + nh4_c + pyr_c ,4.4.1.15,35152.36,72
OCTDPS,Octaprenyl pyrophosphate synthase,frdp_c + 5 ipdp_c  -> octdp_c + 5 ppi_c ,2.5.1.90,35216.05,2
ASNN,L-asparaginase,h2o_c + asn__L_c  -> asp__L_c + nh4_c ,3.5.1.1,35259.59,24
CDPPH,CDP phosphohydrolase,h2o_c + cdp_c  -> h_c + pi_c + cmp_c ,"3.6.1.6, 3.6.1.5",35351.64,700
NDP7,Nucleoside diphosphatase  UDP ,h2o_c + udp_c  -> h_c + ump_c + pi_c ,3.6.1.5,35351.64,80.9
GLYCLTDx,Glycolate dehydrogenase (NAD),h_c + glx_c + nadh_c  -> glyclt_c + nad_c ,"1.1.1.79, 1.1.1.81",35368.445,27.275
HPYRRy,Hydroxypyruvate reductase (NADPH),h_c + hpyr_c + nadph_c  -> nadp_c + glyc__R_c ,"1.1.1.79, 1.1.1.81",35368.445,29.73333333
HPYRRx,Hydroxypyruvate reductase (NADH),h_c + hpyr_c + nadh_c  -> nad_c + glyc__R_c ,"1.1.1.79, 1.1.1.81",35368.445,29.73333333
GLYCLTDy,Glycolate dehydrogenase (NADP),h_c + glx_c + nadph_c  -> glyclt_c + nadp_c ,"1.1.1.79, 1.1.1.81",35368.445,24.55
DKGLCNR2y,"2,5-diketo-D-gluconate reductase (NADPH)",h_c + 25dkglcn_c + nadph_c  -> nadp_c + 5dglcn_c ,"1.1.1.79, 1.1.1.81",35394.53,6.725
2DGULRy,2-dehydro-L-gulonate reductase (NADPH),h_c + 2dhguln_c + nadph_c  -> idon__L_c + nadp_c ,"1.1.1.79, 1.1.1.81",35394.53,6.725
2DGULRx,2-dehydro-L-gulonate reductase (NADH),h_c + 2dhguln_c + nadh_c  -> nad_c + idon__L_c ,"1.1.1.79, 1.1.1.81",35394.53,60503.775
DKGLCNR2x,"2,5-diketo-D-gluconate reductase (NADH)",h_c + 25dkglcn_c + nadh_c  -> nad_c + 5dglcn_c ,"1.1.1.79, 1.1.1.81",35394.53,60503.775
2DGULRGx,2-Dehydro-L-gulonate reductase to gluconate (NADH),h_c + 2dhguln_c + nadh_c  -> nad_c + glcn_c ,"1.1.1.79, 1.1.1.81",35394.53,60503.775
2DGULRGy,2-Dehydro-L-gulonate reductase to gluconate (NADPH),h_c + 2dhguln_c + nadph_c  -> glcn_c + nadp_c ,"1.1.1.79, 1.1.1.81",35394.53,6.725
EDTXS1,Endotoxin Synthesis (lauroyl transferase),ddcaACP_c + kdo2lipid4_c  -> kdo2lipid4L_c + ACP_c ,2.3.1.241,35405.77,131
TALA_f,Transaldolase,g3p_c + s7p_c  -> e4p_c + f6p_c ,2.2.1.2,35438,13
TALA_b,Transaldolase,e4p_c + f6p_c  -> g3p_c + s7p_c ,2.2.1.2,35438,53
SUCBZS,O-succinylbenzoate-CoA synthase,2shchc_c  -> sucbz_c + h2o_c ,4.2.1.113,35475.56,52
GAPD_f,Glyceraldehyde-3-phosphate dehydrogenase,nad_c + g3p_c + pi_c  -> 13dpg_c + h_c + nadh_c ,1.2.1.12,35531.37,70
NADPHHR,NADPH hydratase,h2o_c + nadph_c  -> nadphx__R_c ,1.2.1.12,35531.37,73.56
NADPHHS,NADPH hydratase,h2o_c + nadph_c  -> nadphx__S_c ,1.2.1.12,35531.37,73.56
NADHHS,NADH hydratase,h2o_c + nadh_c  -> nadhx__S_c ,1.2.1.12,35531.37,73.6
NADHHR,NADH hydratase,h2o_c + nadh_c  -> nadhx__R_c ,1.2.1.12,35531.37,73.6
GAPD_b,Glyceraldehyde-3-phosphate dehydrogenase,13dpg_c + h_c + nadh_c  -> nad_c + g3p_c + pi_c ,1.2.1.12,35531.37,73.56
HEPT1,Heptosyltransferase I (LPS core synthesis),adphep_LD_c + lipa_c  -> h_c + hlipa_c + adp_c ,2.-.-.-,35542.79,79.47949376
GTHS,Glutathione synthetase,atp_c + gly_c + glucys_c  -> h_c + gthrd_c + adp_c + pi_c ,6.3.2.3,35559.83,6.752
TDSK,Tetraacyldisaccharide 4'kinase,atp_c + lipidAds_c  -> h_c + adp_c + lipidA_c ,2.7.1.130,35588.28,2.4
PPBNGS,Porphobilinogen synthase,2 5aop_c  -> h_c + 2 h2o_c + ppbng_c ,4.2.1.24,35623.72,16.1
HSST,Homoserine O-succinyltransferase,hom__L_c + succoa_c  -> suchms_c + coa_c ,2.3.1.46,35726.17,25.7
SGDS,Succinylglutamate desuccinylase,h2o_c + sucglu_c  -> glu__L_c + succ_c ,3.5.1.96,35799.14,111.8694444
ACNAMtex_f,N-acetylneuraminate transport via diffusion (extracellular to periplasm),acnam_e  -> acnam_p ,,35861.95667,100000000
ACNAMtex_b,N-acetylneuraminate transport via diffusion (extracellular to periplasm),acnam_p  -> acnam_e ,,35861.95667,100000000
PSD160,Phosphatidylserine decarboxylase (n-C16:0),h_c + ps160_c  -> pe160_c + co2_c ,4.1.1.65,35933.3,75.042
PSD161,Phosphatidylserine decarboxylase (n-C16:1),h_c + ps161_c  -> pe161_c + co2_c ,4.1.1.65,35933.3,75.042
PSD180,Phosphatidylserine decarboxylase (n-C18:0),h_c + ps180_c  -> pe180_c + co2_c ,4.1.1.65,35933.3,75.042
PSD140,Phosphatidylserine decarboxylase (n-C14:0),h_c + ps140_c  -> pe140_c + co2_c ,4.1.1.65,35933.3,75.042
PSD141,Phosphatidylserine decarboxylase (n-C14:1),h_c + ps141_c  -> pe141_c + co2_c ,4.1.1.65,35933.3,75.042
PSD120,Phosphatidylserine decarboxylase (n-C12:0),h_c + ps120_c  -> pe120_c + co2_c ,4.1.1.65,35933.3,75.042
PSD181,Phosphatidylserine decarboxylase (n-C18:1),h_c + ps181_c  -> pe181_c + co2_c ,4.1.1.65,35933.3,75.042
NMNAT,Nicotinamide-nucleotide adenylyltransferase,h_c + atp_c + nmn_c  -> nad_c + ppi_c ,"2.7.1.22, 2.7.7.1",35935.795,0.904583333
AGPR_f,N-acetyl-g-glutamyl-phosphate reductase,acg5sa_c + pi_c + nadp_c  -> h_c + nadph_c + acg5p_c ,1.2.1.38,35951.19,30.56378857
AGPR_b,N-acetyl-g-glutamyl-phosphate reductase,h_c + nadph_c + acg5p_c  -> acg5sa_c + pi_c + nadp_c ,1.2.1.38,35951.19,176.8525
U23GAAT,UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase,u3hga_c + 3hmrsACP_c  -> h_c + u23ga_c + ACP_c ,2.3.1.191,36037.51,23
LIPOS,Lipoate synthase,h_c + octapb_c + nad_c + 2 amet_c + 4fe4s_c  -> 2 met__L_c + 2 dad_5_c + 2 fe2_c + lipopb_c + 2fe2s_c + nadh_c ,2.8.1.8,36070.61,85.46666667
ALAALAr_f,D-alanine-D-alanine ligase (reversible),atp_c + 2 ala__D_c  -> h_c + adp_c + pi_c + alaala_c ,6.3.2.4,36076.7,14.7
ALAALAr_b,D-alanine-D-alanine ligase (reversible),h_c + adp_c + pi_c + alaala_c  -> atp_c + 2 ala__D_c ,6.3.2.4,36076.7,14.7
GOFUCR,GDP-4-oxo-L-fucose reductase,h_c + gdpofuc_c + nadph_c  -> nadp_c + gdpfuc_c ,1.1.1.271,36140.07,0.75
GDMANE,GDP-4-dehydro-6-deoxy-D-mannose epimerase,gdpddman_c  -> gdpofuc_c ,1.1.1.271,36140.07,0.75
PGL,6-phosphogluconolactonase,h2o_c + 6pgl_c  -> h_c + 6pgc_c ,3.1.1.31,36306.47,570.2
ALR2x,Aldose reductase (methylglyoxal) (nadh),h_c + mthgxl_c + nadh_c  -> nad_c + acetol_c ,1.1.1.-,36327.83,171.5562908
UPLA4FNT,Undecaprenyl phosphate-L-Ara4FN transferase,udpLa4fn_c + udcpp_c  -> uLa4fn_c + udp_c ,2.4.2.53,36338.07,24.0530625
PNTK,Pantothenate kinase,pnto__R_c + atp_c  -> h_c + adp_c + 4ppan_c ,2.7.1.33,36358.63,1.07
G3PD2_f,Glycerol-3-phosphate dehydrogenase (NADP),glyc3p_c + nadp_c  -> h_c + dhap_c + nadph_c ,1.1.1.94,36360.57,113.1567
G3PD2_b,Glycerol-3-phosphate dehydrogenase (NADP),h_c + dhap_c + nadph_c  -> glyc3p_c + nadp_c ,1.1.1.94,36360.57,7.3275
ADA,Adenosine deaminase,h_c + adn_c + h2o_c  -> nh4_c + ins_c ,3.5.4.4,36396.5,11.5
DADA,Deoxyadenosine deaminase,h_c + dad_2_c + h2o_c  -> nh4_c + din_c ,3.5.4.4,36396.5,1.42
EDTXS3,Endotoxin Synthesis (palmitoleoyl ACP),hdeACP_c + kdo2lipid4_c  -> kdo2lipid4p_c + ACP_c ,2.3.1.242,36407.33,46.80901367
E4PD_f,Erythrose 4-phosphate dehydrogenase,nad_c + e4p_c + h2o_c  -> 2 h_c + nadh_c + 4per_c ,1.2.1.72,36414.825,20
E4PD_b,Erythrose 4-phosphate dehydrogenase,2 h_c + nadh_c + 4per_c  -> nad_c + e4p_c + h2o_c ,1.2.1.12,36414.825,73.6
GALCTLO,L-galactonate oxidoreductase,nad_c + galctn__L_c  -> h_c + tagur_c + nadh_c ,1.1.1.-,36446.87,76.08846667
HOPNTAL,4-hydroxy-2-oxopentanoate aldolase,4h2opntn_c  -> pyr_c + acald_c ,4.1.3.39,36469.42,5.6
4HTHRA_f,4-hydroxy-L-threonine aldolase,4hthr_c  -> gly_c + gcald_c ,4.1.2.48,36493.7,1.44
4HTHRA_b,4-hydroxy-L-threonine aldolase,gly_c + gcald_c  -> 4hthr_c ,4.1.2.48,36493.7,1.44
LDH_D_f,D-lactate dehydrogenase,nad_c + lac__D_c  -> h_c + pyr_c + nadh_c ,1.1.1.28,36533.71,0.07
LDH_D_b,D-lactate dehydrogenase,h_c + pyr_c + nadh_c  -> nad_c + lac__D_c ,1.1.1.28,36533.71,525
DOGULNR,"2,3 dioxo-L-gulonate reductase",h_c + 23doguln_c + nadh_c  -> nad_c + 3dhguln_c ,1.1.1.130,36571.61,213.4339433
DURIPP_f,Deoxyuridine phosphorylase,duri_c + pi_c  -> 2dr1p_c + ura_c ,"2.4.2.1, 2.4.2.4",36577.395,39.965
DURIPP_b,Deoxyuridine phosphorylase,2dr1p_c + ura_c  -> duri_c + pi_c ,"2.4.2.1, 2.4.2.4",36577.395,1.5225
NI2tpp,Nickel (+2) transport in via permease (no H+),ni2_p  -> ni2_c ,,36588.58,22
MG2tpp,Magnesium (+2) transport in via diffusion,mg2_p  -> mg2_c ,,36588.58,100000000
SELNPS,Selenophosphate synthase,atp_c + h2o_c + seln_c  -> pi_c + amp_c + selnp_c ,2.7.9.3,36686.2,0.25
UAGAAT_f,UDP-N-acetylglucosamine acyltransferase,uacgam_c + 3hmrsACP_c  -> u3aga_c + ACP_c ,2.3.1.129,36700.43,9.166666667
UAGAAT_b,UDP-N-acetylglucosamine acyltransferase,u3aga_c + ACP_c  -> uacgam_c + 3hmrsACP_c ,2.3.1.129,36700.43,9.166666667
RHAT1,Rhamnosyltransferase I (LPS core biosynthesis),kphphhlipa_c + dtdprmn_c  -> h_c + icolipa_c + dtdp_c ,2.4.1.-,36729.33,18.3185
DHORD5,Dihydroorotic acid (menaquinone-8),dhor__S_c + mqn8_c  -> orot_c + mql8_c ,1.3.5.2,36773.46,82
DHORD2,Dihydoorotic acid dehydrogenase (quinone8),dhor__S_c + q8_c  -> q8h2_c + orot_c ,1.3.5.2,36773.46,82
MDDEP3pp,"Murein D,D-endopeptidase (murein5px4p) (periplasm)",h2o_p + murein5px4p_p  -> murein5p4p_p ,3.4.16.4,36811.08286,1.41
MDDEP4pp,"Murein D,D-endopeptidase (murein4px4px4p) (periplasm)",h2o_p + murein4px4px4p_p  -> murein4px4p4p_p ,3.4.16.4,36811.08286,1.41
MDDEP1pp,"Murein D,D-endopeptidase (murein4px4p) (periplasm)",h2o_p + murein4px4p_p  -> murein4p4p_p ,3.4.16.4,36811.08286,1.41
MDDEP2pp,"Murein D,D-endopeptidase (murein3px4p) (periplasm)",murein3px4p_p + h2o_p  -> murein4p3p_p ,3.4.16.4,36811.08286,1.41
ASNNpp,L-asparaginase,h2o_p + asn__L_p  -> nh4_p + asp__L_p ,3.5.1.1,36849.51,24
GLUNpp,Glutaminase,h2o_p + gln__L_p  -> nh4_p + glu__L_p ,3.5.1.1,36849.51,0.33
PRAIS,Phosphoribosylaminoimidazole synthase,fpram_c + atp_c  -> 2 h_c + adp_c + air_c + pi_c ,6.3.3.1,36852.93,1.08
OCBT_f,Ornithine carbamoyltransferase,cbp_c + orn_c  -> h_c + citr__L_c + pi_c ,2.1.3.3,36866.085,88.1
OCBT_b,Ornithine carbamoyltransferase,h_c + citr__L_c + pi_c  -> cbp_c + orn_c ,2.1.3.3,36866.085,8
