Gamma,Change_Factor,Acetate_Threshold_Main,Acetate_Threshold_Slope_0_1,Acetate_Threshold_Slope_0_7,Needs_Revision,Consensus_Threshold
0.1,0.02,0.373473991887415,0.32510331386641,0.0124749478572133,1,0.373473991887415
0.1,0.05,0.372176574351725,0.324984487572324,0.0124754180241287,1,0.372176574351725
0.1,0.1,0.370139229833107,0.324734211168375,0.0124762242340727,1,0.370139229833107
0.1,0.2,0.366178550295872,0.323658784355474,0.0124770339095639,1,0.366178550295872
0.1,0.5,0.3611655872064,0.310027257843747,0.012476988048166,1,0.3611655872064
0.1,1,0.330009330529977,0.294969264759899,0.012476538512518,1,0.330009330529977
0.1,2,0.28067249541791,0.265092904189406,0.0124757759935619,0,0.28067249541791
0.1,5,0,0.201811448806115,0.0124766082816587,0,0
0.1,10,0,0.150784959619884,0.0124764057625093,0,0
0.1,20,0,0,0,0,0
0.1,50,0,0,0,0,0
0.11159169550173,0.02,0.405966586209829,0.369848661347282,0.0124740970418124,1,0.405966586209829
0.11159169550173,0.05,0.404511758475616,0.369714527843515,0.0124754104833832,1,0.404511758475616
0.11159169550173,0.1,0.396520847079482,0.369490742067325,0.0124774283107776,0,0.396520847079482
0.11159169550173,0.2,0.397814197164027,0.36834496253979,0.0124760539761557,0,0.397814197164027
0.11159169550173,0.5,0.392360181152964,0.0124765970116929,0,1,0.392360181152964
0.11159169550173,1,0.360372994856609,0.336473426347402,0.0124759289755539,0,0.360372994856609
0.11159169550173,2,0.306180125125363,0.30259894349077,0.0124759517107691,0,0.306180125125363
0.11159169550173,5,0,0.228584375921175,0.0124766177895749,0,0
0.11159169550173,10,0,0.170488514939509,0.0124789392866896,0,0
0.11159169550173,20,0,0,0,0,0
0.11159169550173,50,0.0434645106257367,0,0,1,0.0434645106257367
0.122837370242214,0.02,0.437663842960905,0.414361061193601,0.0124756077854251,0,0.437663842960905
0.122837370242214,0.05,0.436054673001774,0.414175947490161,0.0124774428991305,0,0.436054673001774
0.122837370242214,0.1,0.42780543939572,0.413583546911507,0.0124767142629359,0,0.42780543939572
0.122837370242214,0.2,0.42866975066604,0.411292409275292,0.0124766055737342,0,0.42866975066604
0.122837370242214,0.5,0.422747945979264,0,0,1,0.422747945979264
0.122837370242214,1,0.389960857104915,0.37612756718435,0.0124765363895756,0,0.389960857104915
0.122837370242214,2,0.333921367204632,0.333921367204632,0.0124767009973766,0,0.333921367204632
0.122837370242214,5,0,0,0,0,0
0.122837370242214,10,0,0.188766547283972,0.0124764162620912,0,0
0.122837370242214,20,0,0.0124786616525433,0,0,0
0.122837370242214,50,0.0441222391005726,0,0,1,0.0441222391005726
0.133737024221453,0.02,0.474198171286387,0.458096459767833,0.0124760847454224,0,0.474198171286387
0.133737024221453,0.05,0.472361078747638,0.457603658079186,0.0124776182545989,0,0.472361078747638
0.133737024221453,0.1,0.463744422222839,0.456651232216704,0.0124750324596492,0,0.463744422222839
0.133737024221453,0.2,0.458743233411156,0.45313475593197,0.0124765768343571,0,0.458743233411156
0.133737024221453,0.5,0.457466310003292,0.436898445997669,0.0124768777388056,0,0.457466310003292
0.133737024221453,1,0.418774740136676,0.40961647011166,0.0124765585020815,0,0.418774740136676
0.133737024221453,2,0.367017887933625,0.363881206283689,0.0124764013896674,0,0.367017887933625
0.133737024221453,5,0,0,0,0,0
0.133737024221453,10,0,0.206379261740314,0.0124789392867667,0,0
0.133737024221453,20,0.119555128423221,0,0,1,0.119555128423221
0.133737024221453,50,0.0444838441490126,0,0,1,0.0444838441490126
0.144290657439446,0.02,0.509355291048867,0.501090994853506,0.0124760631667446,0,0.509355291048867
0.144290657439446,0.05,0.507428743078278,0.50032650197502,0.0124750472924885,0,0.507428743078278
0.144290657439446,0.1,0.504436866444453,0.488763587430831,0.0124768072389693,0,0.504436866444453
0.144290657439446,0.2,0.493531028822637,0.493531028822637,0.0124747096408844,0,0.493531028822637
0.144290657439446,0.5,0.486298569215797,0.470866036240289,0.0124764472468493,0,0.486298569215797
0.144290657439446,1,0.446787179878378,0.442340156911041,0.012475714699969,0,0.446787179878378
0.144290657439446,2,0.396229474872578,0.393067205935113,0.0124764013896675,0,0.396229474872578
0.144290657439446,5,0,0,0,0,0
0.144290657439446,10,0,0.012478688071007,0,0,0
0.144290657439446,20,0.119692678413248,0,0,1,0.119692678413248
0.144290657439446,50,0.0453760443208286,0,0,1,0.0453760443208286
0.15,0.02,0.533860506803554,0.51760493525011,0.0124756461016634,0,0.533860506803554
0.15,0.05,0.53180985284509,0.51704789358895,0.0124766623139881,0,0.53180985284509
0.15,0.1,0.522859148134737,0.516094462879413,0.0124766341426298,0,0.522859148134737
0.15,0.2,0.511832058023779,0.511832058023779,0.0124760645477581,0,0.511832058023779
0.15,0.5,0.50424108964929,0.487793590747414,0.0124757916281641,0,0.50424108964929
0.15,1,0.463838733833316,0.457450812209153,0.0124765600927825,0,0.463838733833316
0.15,2,0.411763465262939,0.407701773039923,0.0124766886888338,0,0.411763465262939
0.15,5,0,0,0,0,0
0.15,10,0.222620171354463,0.222112376912556,0.0124764329792037,0,0.222620171354463
0.15,20,0.119692678413249,0,0,1,0.119692678413249
0.15,50,0.0453760443208288,0,0,1,0.0453760443208288
0.154498269896194,0.02,0.54972718647519,0.532900984971075,0.0124756077854251,0,0.54972718647519
0.154498269896194,0.05,0.547626224797733,0.532332385386913,0.0124770385751682,0,0.547626224797733
0.154498269896194,0.1,0.538597307847508,0.531426871075169,0.0124767020318943,0,0.538597307847508
0.154498269896194,0.2,0.527427485827887,0.527427485827887,0.0124748180434017,0,0.527427485827887
0.154498269896194,0.5,0.514348844975127,0.502725619342517,0.0124764416401482,0,0.514348844975127
0.154498269896194,1,0.477995097771835,0.471541707893233,0.0124763878963275,0,0.477995097771835
0.154498269896194,2,0.424646671543385,0.421255038306104,0.0124766886888338,0,0.424646671543385
0.154498269896194,5,0,0,0,0,0
0.154498269896194,10,0.224934011066665,0.0124764162620911,0,1,0.224934011066665
0.154498269896194,20,0.11969267841325,0,0,1,0.11969267841325
0.154498269896194,50,0.0453760443208288,0,0,1,0.0453760443208288
